vrFragment_trace.txt_vr_frag_thput_mbps,0.235,1.957,0.439
vrFragment_trace.txt_vr_burst_thput_mbps,9.555,1.752,0.35
vrFragment_trace.txt_vr_frag_time,103.452,1.433,-0.323
vrFragment_trace.txt_vr_burst_time,103.44,1.49,-0.308
delay_trace.txt_dl_delay,13.182,0.636,0.043
vrFragment_trace.txt_vr_frag_thput_mbps,0.231,1.912,0.402
vrFragment_trace.txt_vr_burst_thput_mbps,8.856,1.547,0.421
vrFragment_trace.txt_vr_frag_time,74.832,1.595,0.356
vrFragment_trace.txt_vr_burst_time,72.804,1.584,0.406
delay_trace.txt_dl_delay,13.576,1.259,0.175
vrFragment_trace.txt_vr_frag_thput_mbps,0.225,1.741,0.425
vrFragment_trace.txt_vr_burst_thput_mbps,8.168,1.411,0.467
vrFragment_trace.txt_vr_frag_time,56.576,0.958,0.675
vrFragment_trace.txt_vr_burst_time,54.139,0.969,0.714
delay_trace.txt_dl_delay,14.283,1.516,0.262
vrFragment_trace.txt_vr_frag_thput_mbps,0.218,1.673,0.458
vrFragment_trace.txt_vr_burst_thput_mbps,8.127,1.335,0.46
vrFragment_trace.txt_vr_frag_time,49.175,0.8,0.732
vrFragment_trace.txt_vr_burst_time,50.055,0.905,0.743
delay_trace.txt_dl_delay,12.774,1.329,0.371
vrFragment_trace.txt_vr_frag_thput_mbps,0.213,1.58,0.475
vrFragment_trace.txt_vr_burst_thput_mbps,7.639,1.213,0.492
vrFragment_trace.txt_vr_frag_time,47.263,0.848,0.749
vrFragment_trace.txt_vr_burst_time,48.134,0.885,0.748
delay_trace.txt_dl_delay,11.943,1.232,0.409
vrFragment_trace.txt_vr_frag_thput_mbps,0.199,1.217,0.495
vrFragment_trace.txt_vr_burst_thput_mbps,7.291,1.072,0.513
vrFragment_trace.txt_vr_frag_time,45.882,0.806,0.759
vrFragment_trace.txt_vr_burst_time,47.048,0.877,0.753
delay_trace.txt_dl_delay,11.227,1.162,0.467
