vrFragment_trace.txt_vr_frag_thput_mbps,0.235,2.312,0.501
vrFragment_trace.txt_vr_burst_thput_mbps,6.197,0.718,0.669
vrFragment_trace.txt_vr_frag_time,37.059,0.776,0.799
vrFragment_trace.txt_vr_burst_time,33.707,0.631,0.83
delay_trace.txt_dl_delay,6.192,0.431,0.672
vrFragment_trace.txt_vr_frag_thput_mbps,0.235,1.829,0.502
vrFragment_trace.txt_vr_burst_thput_mbps,6.273,0.735,0.673
vrFragment_trace.txt_vr_frag_time,33.88,0.636,0.81
vrFragment_trace.txt_vr_burst_time,34.778,0.704,0.808
delay_trace.txt_dl_delay,6.467,0.527,0.684
