vrFragment_trace.txt_vr_frag_thput_mbps,0.006,0.065,0.999
vrFragment_trace.txt_vr_burst_thput_mbps,0.648,0.184,0.995
vrFragment_trace.txt_vr_frag_time,14.735,0.289,0.981
vrFragment_trace.txt_vr_burst_time,16.426,0.387,0.974
delay_trace.txt_ul_delay,0.77,0.047,0.992
delay_trace.txt_dl_delay,0.588,0.095,0.999
vrFragment_trace.txt_vr_frag_thput_mbps,0.032,0.157,0.982
vrFragment_trace.txt_vr_burst_thput_mbps,1.053,0.199,0.989
vrFragment_trace.txt_vr_frag_time,13.578,0.242,0.982
vrFragment_trace.txt_vr_burst_time,13.671,0.241,0.981
delay_trace.txt_ul_delay,2.604,0.148,0.958
delay_trace.txt_dl_delay,1.274,0.116,0.993
vrFragment_trace.txt_vr_frag_thput_mbps,0.035,0.238,0.983
vrFragment_trace.txt_vr_burst_thput_mbps,2.672,0.384,0.917
vrFragment_trace.txt_vr_frag_time,23.497,0.328,0.935
vrFragment_trace.txt_vr_burst_time,23.829,0.364,0.935
delay_trace.txt_ul_delay,3.215,0.158,0.939
delay_trace.txt_dl_delay,2.707,0.26,0.969
vrFragment_trace.txt_vr_frag_thput_mbps,0.042,0.282,0.972
vrFragment_trace.txt_vr_burst_thput_mbps,2.623,0.342,0.918
vrFragment_trace.txt_vr_frag_time,23.092,0.347,0.937
vrFragment_trace.txt_vr_burst_time,23.761,0.36,0.936
delay_trace.txt_ul_delay,3.378,0.167,0.93
delay_trace.txt_dl_delay,3.087,0.28,0.957
