vrFragment_trace.txt_vr_frag_thput_mbps,0.272,2.093,0.302
vrFragment_trace.txt_vr_burst_thput_mbps,10.085,1.391,-0.234
vrFragment_trace.txt_vr_frag_time,122.924,0.799,-0.658
vrFragment_trace.txt_vr_burst_time,133.085,0.824,-0.788
delay_trace.txt_ul_delay,13.523,0.476,-0.469
delay_trace.txt_dl_delay,11.146,0.259,-0.113
vrFragment_trace.txt_vr_frag_thput_mbps,0.247,1.731,0.415
vrFragment_trace.txt_vr_burst_thput_mbps,11.609,3.384,0.047
vrFragment_trace.txt_vr_frag_time,116.449,0.788,-0.552
vrFragment_trace.txt_vr_burst_time,122.141,0.8,-0.607
delay_trace.txt_ul_delay,8.22,0.264,-0.127
delay_trace.txt_dl_delay,13.334,1.056,-0.006
vrFragment_trace.txt_vr_frag_thput_mbps,0.207,1.47,0.539
vrFragment_trace.txt_vr_burst_thput_mbps,11.715,3.509,0.127
vrFragment_trace.txt_vr_frag_time,102.692,1.423,-0.266
vrFragment_trace.txt_vr_burst_time,102.915,1.395,-0.28
delay_trace.txt_ul_delay,9.226,0.416,-0.009
delay_trace.txt_dl_delay,15.982,1.653,0.053
vrFragment_trace.txt_vr_frag_thput_mbps,0.181,1.275,0.6
vrFragment_trace.txt_vr_burst_thput_mbps,10.686,2.438,0.235
vrFragment_trace.txt_vr_frag_time,101.108,2.571,-0.028
vrFragment_trace.txt_vr_burst_time,102.399,2.646,-0.031
delay_trace.txt_ul_delay,9.397,0.42,0.016
delay_trace.txt_dl_delay,14.95,1.562,0.152
vrFragment_trace.txt_vr_frag_thput_mbps,0.163,1.203,0.698
vrFragment_trace.txt_vr_burst_thput_mbps,8.192,1.713,0.504
vrFragment_trace.txt_vr_frag_time,85.141,2.4,0.268
vrFragment_trace.txt_vr_burst_time,86.401,2.5,0.273
delay_trace.txt_ul_delay,8.842,0.398,0.054
delay_trace.txt_dl_delay,11.393,0.953,0.35
vrFragment_trace.txt_vr_frag_thput_mbps,0.147,1.101,0.745
vrFragment_trace.txt_vr_burst_thput_mbps,7.163,1.535,0.6
vrFragment_trace.txt_vr_frag_time,61.0,1.424,0.61
vrFragment_trace.txt_vr_burst_time,61.857,1.486,0.611
delay_trace.txt_ul_delay,8.768,0.398,0.111
delay_trace.txt_dl_delay,10.426,0.863,0.465
