vrFragment_trace.txt_vr_frag_thput_mbps,0.244,3.056,0.32
vrFragment_trace.txt_vr_burst_thput_mbps,9.382,1.517,0.217
vrFragment_trace.txt_vr_frag_time,103.725,0.666,-0.31
vrFragment_trace.txt_vr_burst_time,105.453,0.701,-0.267
delay_trace.txt_dl_delay,13.418,0.732,0.025
vrFragment_trace.txt_vr_frag_thput_mbps,0.227,2.161,0.378
vrFragment_trace.txt_vr_burst_thput_mbps,8.524,1.417,0.369
vrFragment_trace.txt_vr_frag_time,73.506,0.986,0.329
vrFragment_trace.txt_vr_burst_time,72.539,0.929,0.356
delay_trace.txt_dl_delay,12.673,1.002,0.145
vrFragment_trace.txt_vr_frag_thput_mbps,0.225,2.764,0.41
vrFragment_trace.txt_vr_burst_thput_mbps,7.958,1.271,0.438
vrFragment_trace.txt_vr_frag_time,67.247,1.192,0.465
vrFragment_trace.txt_vr_burst_time,63.928,1.22,0.541
delay_trace.txt_dl_delay,12.644,1.052,0.197
vrFragment_trace.txt_vr_frag_thput_mbps,0.209,2.044,0.505
vrFragment_trace.txt_vr_burst_thput_mbps,7.751,1.166,0.45
vrFragment_trace.txt_vr_frag_time,57.411,0.993,0.567
vrFragment_trace.txt_vr_burst_time,56.652,1.007,0.611
delay_trace.txt_dl_delay,13.196,1.315,0.265
vrFragment_trace.txt_vr_frag_thput_mbps,0.183,1.453,0.608
vrFragment_trace.txt_vr_burst_thput_mbps,6.832,1.076,0.576
vrFragment_trace.txt_vr_frag_time,46.225,0.784,0.744
vrFragment_trace.txt_vr_burst_time,46.877,0.82,0.741
delay_trace.txt_dl_delay,11.317,1.004,0.353
vrFragment_trace.txt_vr_frag_thput_mbps,0.171,1.205,0.637
vrFragment_trace.txt_vr_burst_thput_mbps,6.568,0.979,0.601
vrFragment_trace.txt_vr_frag_time,43.396,0.755,0.775
vrFragment_trace.txt_vr_burst_time,44.886,0.808,0.763
delay_trace.txt_dl_delay,11.078,0.957,0.374
