vrFragment_trace.txt_vr_frag_thput_mbps,0.049,0.347,0.966
vrFragment_trace.txt_vr_burst_thput_mbps,6.6,0.892,0.611
vrFragment_trace.txt_vr_frag_time,100.041,0.701,-0.116
vrFragment_trace.txt_vr_burst_time,105.187,0.705,-0.204
delay_trace.txt_dl_delay,11.445,0.76,0.22
vrFragment_trace.txt_vr_frag_thput_mbps,0.072,0.557,0.924
vrFragment_trace.txt_vr_burst_thput_mbps,5.989,0.826,0.66
vrFragment_trace.txt_vr_frag_time,60.801,0.837,0.6
vrFragment_trace.txt_vr_burst_time,60.39,0.792,0.587
delay_trace.txt_dl_delay,10.247,0.961,0.507
vrFragment_trace.txt_vr_frag_thput_mbps,0.068,0.497,0.937
vrFragment_trace.txt_vr_burst_thput_mbps,6.188,0.963,0.663
vrFragment_trace.txt_vr_frag_time,44.074,0.652,0.802
vrFragment_trace.txt_vr_burst_time,46.519,0.673,0.776
delay_trace.txt_dl_delay,8.161,0.779,0.684
vrFragment_trace.txt_vr_frag_thput_mbps,0.079,0.651,0.921
vrFragment_trace.txt_vr_burst_thput_mbps,5.615,0.884,0.708
vrFragment_trace.txt_vr_frag_time,36.695,0.521,0.852
vrFragment_trace.txt_vr_burst_time,39.897,0.58,0.819
delay_trace.txt_dl_delay,7.313,0.69,0.748
vrFragment_trace.txt_vr_frag_thput_mbps,0.113,0.739,0.825
vrFragment_trace.txt_vr_burst_thput_mbps,5.307,0.842,0.73
vrFragment_trace.txt_vr_frag_time,34.346,0.58,0.853
vrFragment_trace.txt_vr_burst_time,34.828,0.613,0.854
delay_trace.txt_dl_delay,6.551,0.574,0.756
vrFragment_trace.txt_vr_frag_thput_mbps,0.113,0.775,0.822
vrFragment_trace.txt_vr_burst_thput_mbps,4.886,0.74,0.758
vrFragment_trace.txt_vr_frag_time,32.183,0.545,0.863
vrFragment_trace.txt_vr_burst_time,33.088,0.581,0.859
delay_trace.txt_dl_delay,6.301,0.557,0.773
