vrFragment_trace.txt_vr_frag_thput_mbps,0.197,2.477,0.607
vrFragment_trace.txt_vr_burst_thput_mbps,8.189,1.379,0.408
vrFragment_trace.txt_vr_frag_time,108.832,0.714,-0.403
vrFragment_trace.txt_vr_burst_time,110.437,0.759,-0.365
delay_trace.txt_dl_delay,13.244,0.781,0.106
vrFragment_trace.txt_vr_frag_thput_mbps,0.207,2.195,0.56
vrFragment_trace.txt_vr_burst_thput_mbps,7.206,1.131,0.547
vrFragment_trace.txt_vr_frag_time,75.154,0.915,0.28
vrFragment_trace.txt_vr_burst_time,75.024,1.058,0.33
delay_trace.txt_dl_delay,13.999,1.396,0.197
vrFragment_trace.txt_vr_frag_thput_mbps,0.199,2.1,0.58
vrFragment_trace.txt_vr_burst_thput_mbps,6.926,1.102,0.568
vrFragment_trace.txt_vr_frag_time,52.954,0.794,0.651
vrFragment_trace.txt_vr_burst_time,54.933,0.866,0.638
delay_trace.txt_dl_delay,14.406,1.539,0.243
vrFragment_trace.txt_vr_frag_thput_mbps,0.187,1.794,0.607
vrFragment_trace.txt_vr_burst_thput_mbps,6.893,1.091,0.581
vrFragment_trace.txt_vr_frag_time,45.248,0.679,0.754
vrFragment_trace.txt_vr_burst_time,46.752,0.728,0.758
delay_trace.txt_dl_delay,15.141,1.803,0.245
vrFragment_trace.txt_vr_frag_thput_mbps,0.163,1.254,0.682
vrFragment_trace.txt_vr_burst_thput_mbps,6.151,0.878,0.634
vrFragment_trace.txt_vr_frag_time,39.798,0.707,0.813
vrFragment_trace.txt_vr_burst_time,40.424,0.721,0.811
delay_trace.txt_dl_delay,10.533,0.974,0.442
vrFragment_trace.txt_vr_frag_thput_mbps,0.159,1.134,0.688
vrFragment_trace.txt_vr_burst_thput_mbps,6.027,0.861,0.645
vrFragment_trace.txt_vr_frag_time,37.001,0.632,0.83
vrFragment_trace.txt_vr_burst_time,37.835,0.698,0.828
delay_trace.txt_dl_delay,10.27,0.899,0.444
