vrFragment_trace.txt_vr_frag_thput_mbps,0.234,2.497,0.374
vrFragment_trace.txt_vr_burst_thput_mbps,8.835,1.509,0.265
vrFragment_trace.txt_vr_frag_time,105.012,0.724,-0.319
vrFragment_trace.txt_vr_burst_time,113.312,0.755,-0.411
delay_trace.txt_dl_delay,11.5,0.648,0.057
vrFragment_trace.txt_vr_frag_thput_mbps,0.205,1.849,0.525
vrFragment_trace.txt_vr_burst_thput_mbps,8.039,1.241,0.419
vrFragment_trace.txt_vr_frag_time,79.223,1.156,0.291
vrFragment_trace.txt_vr_burst_time,82.265,1.163,0.223
delay_trace.txt_dl_delay,12.362,1.073,0.204
vrFragment_trace.txt_vr_frag_thput_mbps,0.204,2.127,0.514
vrFragment_trace.txt_vr_burst_thput_mbps,7.356,1.002,0.491
vrFragment_trace.txt_vr_frag_time,62.309,1.142,0.543
vrFragment_trace.txt_vr_burst_time,63.667,1.213,0.506
delay_trace.txt_dl_delay,13.195,1.27,0.243
vrFragment_trace.txt_vr_frag_thput_mbps,0.181,1.571,0.602
vrFragment_trace.txt_vr_burst_thput_mbps,6.89,0.976,0.562
vrFragment_trace.txt_vr_frag_time,49.196,0.798,0.67
vrFragment_trace.txt_vr_burst_time,49.945,0.927,0.67
delay_trace.txt_dl_delay,13.591,1.337,0.241
vrFragment_trace.txt_vr_frag_thput_mbps,0.154,1.424,0.73
vrFragment_trace.txt_vr_burst_thput_mbps,5.677,0.817,0.692
vrFragment_trace.txt_vr_frag_time,38.072,0.592,0.808
vrFragment_trace.txt_vr_burst_time,38.579,0.624,0.811
delay_trace.txt_dl_delay,10.765,0.883,0.379
vrFragment_trace.txt_vr_frag_thput_mbps,0.133,0.872,0.766
vrFragment_trace.txt_vr_burst_thput_mbps,5.35,0.748,0.717
vrFragment_trace.txt_vr_frag_time,35.312,0.539,0.828
vrFragment_trace.txt_vr_burst_time,34.176,0.582,0.851
delay_trace.txt_dl_delay,10.612,0.862,0.393
