vrFragment_trace.txt_vr_frag_thput_mbps,0.255,3.016,0.281
vrFragment_trace.txt_vr_burst_thput_mbps,8.486,0.896,0.242
vrFragment_trace.txt_vr_frag_time,121.184,0.786,-0.609
vrFragment_trace.txt_vr_burst_time,131.082,0.809,-0.734
delay_trace.txt_dl_delay,11.702,0.558,-0.057
vrFragment_trace.txt_vr_frag_thput_mbps,0.235,2.541,0.398
vrFragment_trace.txt_vr_burst_thput_mbps,7.692,1.061,0.466
vrFragment_trace.txt_vr_frag_time,108.275,0.696,-0.298
vrFragment_trace.txt_vr_burst_time,114.861,0.742,-0.388
delay_trace.txt_dl_delay,11.154,0.394,-0.067
vrFragment_trace.txt_vr_frag_thput_mbps,0.227,1.915,0.439
vrFragment_trace.txt_vr_burst_thput_mbps,7.412,1.11,0.523
vrFragment_trace.txt_vr_frag_time,78.958,0.869,0.268
vrFragment_trace.txt_vr_burst_time,82.416,0.855,0.177
delay_trace.txt_dl_delay,11.687,0.441,-0.067
vrFragment_trace.txt_vr_frag_thput_mbps,0.208,1.754,0.489
vrFragment_trace.txt_vr_burst_thput_mbps,7.234,1.074,0.546
vrFragment_trace.txt_vr_frag_time,56.419,0.838,0.654
vrFragment_trace.txt_vr_burst_time,58.966,0.912,0.612
delay_trace.txt_dl_delay,12.017,0.461,-0.082
vrFragment_trace.txt_vr_frag_thput_mbps,0.196,1.475,0.549
vrFragment_trace.txt_vr_burst_thput_mbps,7.022,1.123,0.557
vrFragment_trace.txt_vr_frag_time,44.402,0.68,0.768
vrFragment_trace.txt_vr_burst_time,45.232,0.711,0.769
delay_trace.txt_dl_delay,12.218,0.627,-0.026
vrFragment_trace.txt_vr_frag_thput_mbps,0.188,1.3,0.573
vrFragment_trace.txt_vr_burst_thput_mbps,6.823,1.074,0.576
vrFragment_trace.txt_vr_frag_time,42.588,0.752,0.789
vrFragment_trace.txt_vr_burst_time,43.365,0.807,0.787
delay_trace.txt_dl_delay,11.977,0.645,0.025
