vrFragment_trace.txt_vr_frag_thput_mbps,0.17,2.693,0.689
vrFragment_trace.txt_vr_burst_thput_mbps,4.118,0.632,0.83
vrFragment_trace.txt_vr_frag_time,34.334,0.521,0.888
vrFragment_trace.txt_vr_burst_time,31.929,0.548,0.922
delay_trace.txt_dl_delay,11.143,0.866,0.281
vrFragment_trace.txt_vr_frag_thput_mbps,0.137,1.307,0.776
vrFragment_trace.txt_vr_burst_thput_mbps,3.884,0.53,0.832
vrFragment_trace.txt_vr_frag_time,27.569,0.48,0.931
vrFragment_trace.txt_vr_burst_time,30.859,0.498,0.922
delay_trace.txt_dl_delay,9.149,0.657,0.425
vrFragment_trace.txt_vr_frag_thput_mbps,0.153,1.765,0.728
vrFragment_trace.txt_vr_burst_thput_mbps,3.759,0.466,0.84
vrFragment_trace.txt_vr_frag_time,22.648,0.411,0.953
vrFragment_trace.txt_vr_burst_time,21.124,0.466,0.961
delay_trace.txt_dl_delay,8.792,0.446,0.428
vrFragment_trace.txt_vr_frag_thput_mbps,0.129,1.29,0.807
vrFragment_trace.txt_vr_burst_thput_mbps,3.73,0.521,0.84
vrFragment_trace.txt_vr_frag_time,21.596,0.326,0.958
vrFragment_trace.txt_vr_burst_time,19.609,0.426,0.964
delay_trace.txt_dl_delay,12.832,1.288,0.341
vrFragment_trace.txt_vr_frag_thput_mbps,0.085,0.584,0.899
vrFragment_trace.txt_vr_burst_thput_mbps,2.347,0.272,0.927
vrFragment_trace.txt_vr_frag_time,10.303,0.205,0.989
vrFragment_trace.txt_vr_burst_time,11.719,0.205,0.983
delay_trace.txt_dl_delay,7.114,0.467,0.683
vrFragment_trace.txt_vr_frag_thput_mbps,0.059,0.512,0.95
vrFragment_trace.txt_vr_burst_thput_mbps,2.102,0.224,0.939
vrFragment_trace.txt_vr_frag_time,9.718,0.173,0.99
vrFragment_trace.txt_vr_burst_time,11.035,0.184,0.984
delay_trace.txt_dl_delay,6.145,0.393,0.75
