vrFragment_trace.txt_vr_frag_thput_mbps,0.141,1.685,0.792
vrFragment_trace.txt_vr_burst_thput_mbps,5.14,0.858,0.762
vrFragment_trace.txt_vr_frag_time,34.426,0.686,0.857
vrFragment_trace.txt_vr_burst_time,35.615,0.759,0.851
delay_trace.txt_dl_delay,8.583,0.836,0.732
vrFragment_trace.txt_vr_frag_thput_mbps,0.164,1.951,0.705
vrFragment_trace.txt_vr_burst_thput_mbps,4.876,0.795,0.775
vrFragment_trace.txt_vr_frag_time,31.542,0.563,0.895
vrFragment_trace.txt_vr_burst_time,30.518,0.685,0.907
delay_trace.txt_dl_delay,5.148,0.405,0.875
vrFragment_trace.txt_vr_frag_thput_mbps,0.163,1.771,0.714
vrFragment_trace.txt_vr_burst_thput_mbps,4.686,0.63,0.765
vrFragment_trace.txt_vr_frag_time,30.024,0.549,0.898
vrFragment_trace.txt_vr_burst_time,31.491,0.481,0.895
delay_trace.txt_dl_delay,4.967,0.456,0.895
vrFragment_trace.txt_vr_frag_thput_mbps,0.147,1.183,0.733
vrFragment_trace.txt_vr_burst_thput_mbps,4.659,0.679,0.765
vrFragment_trace.txt_vr_frag_time,29.881,0.56,0.894
vrFragment_trace.txt_vr_burst_time,28.984,0.58,0.911
delay_trace.txt_dl_delay,4.753,0.411,0.89
vrFragment_trace.txt_vr_frag_thput_mbps,0.119,0.929,0.823
vrFragment_trace.txt_vr_burst_thput_mbps,3.93,0.485,0.816
vrFragment_trace.txt_vr_frag_time,26.528,0.393,0.908
vrFragment_trace.txt_vr_burst_time,27.736,0.423,0.902
delay_trace.txt_dl_delay,4.961,0.409,0.864
vrFragment_trace.txt_vr_frag_thput_mbps,0.116,0.67,0.808
vrFragment_trace.txt_vr_burst_thput_mbps,3.983,0.475,0.81
vrFragment_trace.txt_vr_frag_time,26.65,0.39,0.908
vrFragment_trace.txt_vr_burst_time,27.101,0.44,0.906
delay_trace.txt_dl_delay,5.131,0.435,0.854
