vrFragment_trace.txt_vr_frag_thput_mbps,0.225,2.061,0.525
vrFragment_trace.txt_vr_burst_thput_mbps,5.767,1.17,0.721
vrFragment_trace.txt_vr_frag_time,50.395,0.702,0.726
vrFragment_trace.txt_vr_burst_time,55.84,0.772,0.673
delay_trace.txt_dl_delay,10.764,0.912,0.532
vrFragment_trace.txt_vr_frag_thput_mbps,0.214,2.039,0.491
vrFragment_trace.txt_vr_burst_thput_mbps,5.675,0.89,0.682
vrFragment_trace.txt_vr_frag_time,43.368,0.731,0.785
vrFragment_trace.txt_vr_burst_time,39.475,0.765,0.84
delay_trace.txt_dl_delay,6.542,0.384,0.751
vrFragment_trace.txt_vr_frag_thput_mbps,0.217,2.245,0.486
vrFragment_trace.txt_vr_burst_thput_mbps,5.522,0.872,0.689
vrFragment_trace.txt_vr_frag_time,41.125,0.733,0.801
vrFragment_trace.txt_vr_burst_time,37.289,0.782,0.858
delay_trace.txt_dl_delay,6.099,0.344,0.789
vrFragment_trace.txt_vr_frag_thput_mbps,0.187,1.357,0.574
vrFragment_trace.txt_vr_burst_thput_mbps,5.418,0.953,0.709
vrFragment_trace.txt_vr_frag_time,36.949,0.708,0.843
vrFragment_trace.txt_vr_burst_time,40.878,0.839,0.82
delay_trace.txt_dl_delay,5.908,0.334,0.8
vrFragment_trace.txt_vr_frag_thput_mbps,0.135,0.896,0.755
vrFragment_trace.txt_vr_burst_thput_mbps,4.113,0.463,0.793
vrFragment_trace.txt_vr_frag_time,29.079,0.432,0.892
vrFragment_trace.txt_vr_burst_time,29.342,0.482,0.889
delay_trace.txt_dl_delay,5.274,0.418,0.845
vrFragment_trace.txt_vr_frag_thput_mbps,0.117,0.565,0.772
vrFragment_trace.txt_vr_burst_thput_mbps,4.09,0.464,0.794
vrFragment_trace.txt_vr_frag_time,29.476,0.402,0.883
vrFragment_trace.txt_vr_burst_time,28.792,0.405,0.888
delay_trace.txt_dl_delay,5.329,0.432,0.841
