vrFragment_trace.txt_vr_frag_thput_mbps,0.047,0.219,0.923
vrFragment_trace.txt_vr_burst_thput_mbps,6.823,0.461,0.42
vrFragment_trace.txt_vr_frag_time,101.113,0.726,-0.241
vrFragment_trace.txt_vr_burst_time,106.227,0.733,-0.315
delay_trace.txt_dl_delay,10.813,0.268,-0.018
vrFragment_trace.txt_vr_frag_thput_mbps,0.077,0.363,0.835
vrFragment_trace.txt_vr_burst_thput_mbps,5.6,0.546,0.597
vrFragment_trace.txt_vr_frag_time,58.648,0.742,0.576
vrFragment_trace.txt_vr_burst_time,58.33,0.76,0.567
delay_trace.txt_dl_delay,9.261,0.29,0.176
vrFragment_trace.txt_vr_frag_thput_mbps,0.079,0.424,0.847
vrFragment_trace.txt_vr_burst_thput_mbps,5.865,0.608,0.609
vrFragment_trace.txt_vr_frag_time,41.082,0.579,0.804
vrFragment_trace.txt_vr_burst_time,42.794,0.581,0.782
delay_trace.txt_dl_delay,7.85,0.401,0.53
vrFragment_trace.txt_vr_frag_thput_mbps,0.087,0.428,0.835
vrFragment_trace.txt_vr_burst_thput_mbps,5.298,0.569,0.662
vrFragment_trace.txt_vr_frag_time,33.739,0.448,0.852
vrFragment_trace.txt_vr_burst_time,37.316,0.511,0.815
delay_trace.txt_dl_delay,6.565,0.414,0.702
vrFragment_trace.txt_vr_frag_thput_mbps,0.108,0.495,0.788
vrFragment_trace.txt_vr_burst_thput_mbps,4.824,0.488,0.702
vrFragment_trace.txt_vr_frag_time,32.072,0.458,0.855
vrFragment_trace.txt_vr_burst_time,32.588,0.477,0.856
delay_trace.txt_dl_delay,5.851,0.382,0.737
vrFragment_trace.txt_vr_frag_thput_mbps,0.105,0.472,0.791
vrFragment_trace.txt_vr_burst_thput_mbps,4.393,0.424,0.741
vrFragment_trace.txt_vr_frag_time,30.045,0.416,0.864
vrFragment_trace.txt_vr_burst_time,30.747,0.44,0.86
delay_trace.txt_dl_delay,5.693,0.372,0.752
