vrFragment_trace.txt_vr_frag_thput_mbps,0.187,0.362,0.253
vrFragment_trace.txt_vr_burst_thput_mbps,9.723,0.372,-0.267
vrFragment_trace.txt_vr_frag_time,122.571,0.744,-0.726
vrFragment_trace.txt_vr_burst_time,126.168,0.732,-0.723
delay_trace.txt_dl_delay,11.6,0.232,-0.118
vrFragment_trace.txt_vr_frag_thput_mbps,0.207,0.394,0.071
vrFragment_trace.txt_vr_burst_thput_mbps,9.055,0.358,-0.167
vrFragment_trace.txt_vr_frag_time,116.457,0.668,-0.56
vrFragment_trace.txt_vr_burst_time,119.086,0.684,-0.593
delay_trace.txt_dl_delay,10.783,0.227,-0.117
vrFragment_trace.txt_vr_frag_thput_mbps,0.202,0.394,0.125
vrFragment_trace.txt_vr_burst_thput_mbps,8.92,0.349,-0.128
vrFragment_trace.txt_vr_frag_time,95.524,0.589,-0.082
vrFragment_trace.txt_vr_burst_time,98.371,0.587,-0.088
delay_trace.txt_dl_delay,11.452,0.217,-0.104
vrFragment_trace.txt_vr_frag_thput_mbps,0.206,0.378,0.1
vrFragment_trace.txt_vr_burst_thput_mbps,8.682,0.351,-0.076
vrFragment_trace.txt_vr_frag_time,50.284,0.39,0.651
vrFragment_trace.txt_vr_burst_time,59.088,0.443,0.559
delay_trace.txt_dl_delay,11.02,0.223,-0.061
vrFragment_trace.txt_vr_frag_thput_mbps,0.206,0.362,0.128
vrFragment_trace.txt_vr_burst_thput_mbps,8.299,0.366,0.02
vrFragment_trace.txt_vr_frag_time,38.638,0.353,0.792
vrFragment_trace.txt_vr_burst_time,40.152,0.367,0.785
delay_trace.txt_dl_delay,10.89,0.233,-0.041
vrFragment_trace.txt_vr_frag_thput_mbps,0.171,0.337,0.381
vrFragment_trace.txt_vr_burst_thput_mbps,7.619,0.352,0.161
vrFragment_trace.txt_vr_frag_time,34.244,0.324,0.836
vrFragment_trace.txt_vr_burst_time,35.404,0.339,0.829
delay_trace.txt_dl_delay,10.894,0.233,-0.027
