vrFragment_trace.txt_vr_frag_thput_mbps,0.047,0.343,0.967
vrFragment_trace.txt_vr_burst_thput_mbps,6.566,0.527,0.481
vrFragment_trace.txt_vr_frag_time,101.035,0.726,-0.24
vrFragment_trace.txt_vr_burst_time,106.129,0.734,-0.314
delay_trace.txt_dl_delay,10.782,0.286,-0.005
vrFragment_trace.txt_vr_frag_thput_mbps,0.071,0.551,0.926
vrFragment_trace.txt_vr_burst_thput_mbps,5.494,0.571,0.61
vrFragment_trace.txt_vr_frag_time,58.574,0.741,0.577
vrFragment_trace.txt_vr_burst_time,58.193,0.759,0.568
delay_trace.txt_dl_delay,9.163,0.296,0.198
vrFragment_trace.txt_vr_frag_thput_mbps,0.068,0.492,0.938
vrFragment_trace.txt_vr_burst_thput_mbps,5.761,0.635,0.622
vrFragment_trace.txt_vr_frag_time,41.04,0.578,0.805
vrFragment_trace.txt_vr_burst_time,42.75,0.58,0.782
delay_trace.txt_dl_delay,7.655,0.412,0.558
vrFragment_trace.txt_vr_frag_thput_mbps,0.078,0.645,0.922
vrFragment_trace.txt_vr_burst_thput_mbps,5.199,0.595,0.676
vrFragment_trace.txt_vr_frag_time,33.692,0.448,0.852
vrFragment_trace.txt_vr_burst_time,37.289,0.511,0.816
delay_trace.txt_dl_delay,6.481,0.421,0.711
vrFragment_trace.txt_vr_frag_thput_mbps,0.113,0.746,0.825
vrFragment_trace.txt_vr_burst_thput_mbps,4.796,0.517,0.71
vrFragment_trace.txt_vr_frag_time,32.055,0.458,0.855
vrFragment_trace.txt_vr_burst_time,32.562,0.477,0.856
delay_trace.txt_dl_delay,5.859,0.388,0.738
vrFragment_trace.txt_vr_frag_thput_mbps,0.113,0.772,0.823
vrFragment_trace.txt_vr_burst_thput_mbps,4.385,0.456,0.745
vrFragment_trace.txt_vr_frag_time,30.025,0.416,0.864
vrFragment_trace.txt_vr_burst_time,30.725,0.439,0.86
delay_trace.txt_dl_delay,5.691,0.378,0.753
