vrFragment_trace.txt_vr_frag_thput_mbps,0.168,2.17,0.65
vrFragment_trace.txt_vr_burst_thput_mbps,5.439,0.765,0.723
vrFragment_trace.txt_vr_frag_time,35.387,0.592,0.867
vrFragment_trace.txt_vr_burst_time,33.736,0.625,0.893
delay_trace.txt_dl_delay,9.971,1.067,0.603
vrFragment_trace.txt_vr_frag_thput_mbps,0.162,1.833,0.702
vrFragment_trace.txt_vr_burst_thput_mbps,4.56,0.762,0.787
vrFragment_trace.txt_vr_frag_time,26.694,0.506,0.938
vrFragment_trace.txt_vr_burst_time,30.555,0.558,0.919
delay_trace.txt_dl_delay,5.841,0.646,0.871
vrFragment_trace.txt_vr_frag_thput_mbps,0.147,1.391,0.734
vrFragment_trace.txt_vr_burst_thput_mbps,4.391,0.545,0.789
vrFragment_trace.txt_vr_frag_time,21.101,0.381,0.964
vrFragment_trace.txt_vr_burst_time,19.822,0.462,0.966
delay_trace.txt_dl_delay,3.047,0.226,0.953
vrFragment_trace.txt_vr_frag_thput_mbps,0.138,1.388,0.782
vrFragment_trace.txt_vr_burst_thput_mbps,3.819,0.56,0.824
vrFragment_trace.txt_vr_frag_time,22.392,0.29,0.956
vrFragment_trace.txt_vr_burst_time,17.183,0.344,0.968
delay_trace.txt_dl_delay,3.442,0.262,0.925
vrFragment_trace.txt_vr_frag_thput_mbps,0.081,0.657,0.919
vrFragment_trace.txt_vr_burst_thput_mbps,2.022,0.209,0.941
vrFragment_trace.txt_vr_frag_time,8.578,0.132,0.99
vrFragment_trace.txt_vr_burst_time,10.202,0.164,0.985
delay_trace.txt_dl_delay,2.33,0.129,0.958
vrFragment_trace.txt_vr_frag_thput_mbps,0.055,0.308,0.954
vrFragment_trace.txt_vr_burst_thput_mbps,2.107,0.194,0.934
vrFragment_trace.txt_vr_frag_time,10.12,0.12,0.984
vrFragment_trace.txt_vr_burst_time,10.179,0.128,0.983
delay_trace.txt_dl_delay,1.787,0.129,0.977
