vrFragment_trace.txt_vr_frag_thput_mbps,0.316,4.35,0.024
vrFragment_trace.txt_vr_burst_thput_mbps,5.503,0.68,0.677
vrFragment_trace.txt_vr_frag_time,54.565,0.522,0.741
vrFragment_trace.txt_vr_burst_time,55.56,0.553,0.765
delay_trace.txt_dl_delay,7.427,0.516,0.649
vrFragment_trace.txt_vr_frag_thput_mbps,0.269,4.298,0.278
vrFragment_trace.txt_vr_burst_thput_mbps,4.877,0.629,0.753
vrFragment_trace.txt_vr_frag_time,31.471,0.443,0.916
vrFragment_trace.txt_vr_burst_time,31.522,0.487,0.913
delay_trace.txt_dl_delay,5.514,0.355,0.812
vrFragment_trace.txt_vr_frag_thput_mbps,0.203,1.879,0.534
vrFragment_trace.txt_vr_burst_thput_mbps,4.556,0.625,0.776
vrFragment_trace.txt_vr_frag_time,29.648,0.397,0.925
vrFragment_trace.txt_vr_burst_time,30.278,0.447,0.92
delay_trace.txt_dl_delay,4.624,0.254,0.865
vrFragment_trace.txt_vr_frag_thput_mbps,0.204,2.25,0.555
vrFragment_trace.txt_vr_burst_thput_mbps,4.308,0.526,0.787
vrFragment_trace.txt_vr_frag_time,28.269,0.353,0.928
vrFragment_trace.txt_vr_burst_time,29.499,0.387,0.929
delay_trace.txt_dl_delay,4.116,0.235,0.88
vrFragment_trace.txt_vr_frag_thput_mbps,0.101,0.736,0.869
vrFragment_trace.txt_vr_burst_thput_mbps,2.479,0.266,0.916
vrFragment_trace.txt_vr_frag_time,13.84,0.185,0.982
vrFragment_trace.txt_vr_burst_time,13.29,0.195,0.979
delay_trace.txt_dl_delay,2.572,0.152,0.958
vrFragment_trace.txt_vr_frag_thput_mbps,0.07,0.695,0.935
vrFragment_trace.txt_vr_burst_thput_mbps,2.131,0.202,0.934
vrFragment_trace.txt_vr_frag_time,12.183,0.163,0.983
vrFragment_trace.txt_vr_burst_time,14.407,0.181,0.976
delay_trace.txt_dl_delay,2.341,0.145,0.965
