vrFragment_trace.txt_vr_frag_thput_mbps,0.117,0.749,0.841
vrFragment_trace.txt_vr_burst_thput_mbps,10.064,0.651,-0.266
vrFragment_trace.txt_vr_frag_time,125.264,0.812,-0.706
vrFragment_trace.txt_vr_burst_time,128.155,0.811,-0.69
delay_trace.txt_ul_delay,11.597,0.534,-1.807
delay_trace.txt_dl_delay,12.016,0.288,-0.089
vrFragment_trace.txt_vr_frag_thput_mbps,0.127,0.824,0.8
vrFragment_trace.txt_vr_burst_thput_mbps,6.711,0.914,0.607
vrFragment_trace.txt_vr_frag_time,64.33,0.839,0.461
vrFragment_trace.txt_vr_burst_time,64.648,0.846,0.472
delay_trace.txt_ul_delay,8.572,0.367,0.206
delay_trace.txt_dl_delay,10.263,0.979,0.495
vrFragment_trace.txt_vr_frag_thput_mbps,0.121,0.762,0.829
vrFragment_trace.txt_vr_burst_thput_mbps,5.625,0.808,0.735
vrFragment_trace.txt_vr_frag_time,31.851,0.599,0.854
vrFragment_trace.txt_vr_burst_time,32.26,0.63,0.855
delay_trace.txt_ul_delay,6.7,0.281,0.412
delay_trace.txt_dl_delay,6.486,0.578,0.741
vrFragment_trace.txt_vr_frag_thput_mbps,0.113,0.763,0.833
vrFragment_trace.txt_vr_burst_thput_mbps,4.99,0.764,0.764
vrFragment_trace.txt_vr_frag_time,31.605,0.541,0.87
vrFragment_trace.txt_vr_burst_time,33.11,0.579,0.867
delay_trace.txt_ul_delay,6.64,0.271,0.428
delay_trace.txt_dl_delay,6.468,0.569,0.763
