vrFragment_trace.txt_vr_frag_thput_mbps,0.091,0.578,0.895
vrFragment_trace.txt_vr_burst_thput_mbps,8.763,1.319,0.239
vrFragment_trace.txt_vr_frag_time,118.994,0.778,-0.537
vrFragment_trace.txt_vr_burst_time,123.409,0.784,-0.58
delay_trace.txt_ul_delay,9.173,0.405,-0.99
delay_trace.txt_dl_delay,11.071,0.5,0.152
vrFragment_trace.txt_vr_frag_thput_mbps,0.089,0.575,0.895
vrFragment_trace.txt_vr_burst_thput_mbps,6.056,0.865,0.675
vrFragment_trace.txt_vr_frag_time,37.296,0.56,0.827
vrFragment_trace.txt_vr_burst_time,38.863,0.63,0.812
delay_trace.txt_ul_delay,7.848,0.348,0.39
delay_trace.txt_dl_delay,7.476,0.743,0.726
vrFragment_trace.txt_vr_frag_thput_mbps,0.093,0.572,0.897
vrFragment_trace.txt_vr_burst_thput_mbps,4.841,0.618,0.787
vrFragment_trace.txt_vr_frag_time,29.04,0.538,0.869
vrFragment_trace.txt_vr_burst_time,29.64,0.571,0.87
delay_trace.txt_ul_delay,6.344,0.263,0.479
delay_trace.txt_dl_delay,6.031,0.534,0.775
vrFragment_trace.txt_vr_frag_thput_mbps,0.091,0.52,0.883
vrFragment_trace.txt_vr_burst_thput_mbps,4.258,0.535,0.805
vrFragment_trace.txt_vr_frag_time,28.96,0.451,0.884
vrFragment_trace.txt_vr_burst_time,30.441,0.486,0.879
delay_trace.txt_ul_delay,6.61,0.275,0.485
delay_trace.txt_dl_delay,6.084,0.509,0.787
