vrFragment_trace.txt_vr_frag_thput_mbps,0.018,0.203,0.996
vrFragment_trace.txt_vr_burst_thput_mbps,0.775,0.227,0.996
vrFragment_trace.txt_vr_frag_time,9.011,0.243,0.994
vrFragment_trace.txt_vr_burst_time,7.101,0.215,0.996
delay_trace.txt_ul_delay,1.505,0.087,0.988
delay_trace.txt_dl_delay,1.639,0.194,0.995
vrFragment_trace.txt_vr_frag_thput_mbps,0.114,0.777,0.833
vrFragment_trace.txt_vr_burst_thput_mbps,4.432,0.759,0.82
vrFragment_trace.txt_vr_frag_time,27.257,0.637,0.937
vrFragment_trace.txt_vr_burst_time,27.709,0.697,0.94
delay_trace.txt_ul_delay,6.044,0.293,0.805
delay_trace.txt_dl_delay,5.41,0.571,0.892
vrFragment_trace.txt_vr_frag_thput_mbps,0.153,1.241,0.737
vrFragment_trace.txt_vr_burst_thput_mbps,5.727,1.265,0.737
vrFragment_trace.txt_vr_frag_time,34.708,0.888,0.881
vrFragment_trace.txt_vr_burst_time,35.379,0.938,0.877
delay_trace.txt_ul_delay,6.887,0.323,0.585
delay_trace.txt_dl_delay,7.331,0.775,0.792
vrFragment_trace.txt_vr_frag_thput_mbps,0.164,1.289,0.693
vrFragment_trace.txt_vr_burst_thput_mbps,6.158,1.308,0.691
vrFragment_trace.txt_vr_frag_time,36.672,0.91,0.86
vrFragment_trace.txt_vr_burst_time,37.315,0.965,0.857
delay_trace.txt_ul_delay,7.204,0.332,0.493
delay_trace.txt_dl_delay,8.07,0.84,0.738
