vrFragment_trace.txt_vr_frag_thput_mbps,0.02,0.233,0.996
vrFragment_trace.txt_vr_burst_thput_mbps,0.699,0.217,0.996
vrFragment_trace.txt_vr_frag_time,9.029,0.249,0.994
vrFragment_trace.txt_vr_burst_time,7.921,0.243,0.995
delay_trace.txt_ul_delay,1.643,0.095,0.986
delay_trace.txt_dl_delay,1.588,0.199,0.995
vrFragment_trace.txt_vr_frag_thput_mbps,0.123,0.858,0.818
vrFragment_trace.txt_vr_burst_thput_mbps,4.669,0.803,0.815
vrFragment_trace.txt_vr_frag_time,29.011,0.687,0.929
vrFragment_trace.txt_vr_burst_time,29.313,0.729,0.934
delay_trace.txt_ul_delay,5.864,0.285,0.83
delay_trace.txt_dl_delay,4.46,0.489,0.932
vrFragment_trace.txt_vr_frag_thput_mbps,0.162,1.318,0.71
vrFragment_trace.txt_vr_burst_thput_mbps,6.012,1.331,0.715
vrFragment_trace.txt_vr_frag_time,36.589,0.959,0.868
vrFragment_trace.txt_vr_burst_time,37.031,1.008,0.867
delay_trace.txt_ul_delay,6.675,0.314,0.628
delay_trace.txt_dl_delay,6.899,0.735,0.82
vrFragment_trace.txt_vr_frag_thput_mbps,0.171,1.368,0.67
vrFragment_trace.txt_vr_burst_thput_mbps,6.425,1.382,0.67
vrFragment_trace.txt_vr_frag_time,38.794,0.981,0.842
vrFragment_trace.txt_vr_burst_time,39.522,1.039,0.84
delay_trace.txt_ul_delay,7.078,0.327,0.525
delay_trace.txt_dl_delay,7.727,0.8,0.757
