vrFragment_trace.txt_vr_frag_thput_mbps,0.018,0.207,0.996
vrFragment_trace.txt_vr_burst_thput_mbps,0.817,0.245,0.995
vrFragment_trace.txt_vr_frag_time,9.193,0.236,0.993
vrFragment_trace.txt_vr_burst_time,8.156,0.25,0.995
delay_trace.txt_ul_delay,1.801,0.1,0.984
delay_trace.txt_dl_delay,1.911,0.227,0.993
vrFragment_trace.txt_vr_frag_thput_mbps,0.131,0.869,0.787
vrFragment_trace.txt_vr_burst_thput_mbps,4.996,0.89,0.78
vrFragment_trace.txt_vr_frag_time,31.973,0.778,0.917
vrFragment_trace.txt_vr_burst_time,32.082,0.844,0.924
delay_trace.txt_ul_delay,7.114,0.343,0.726
delay_trace.txt_dl_delay,6.657,0.722,0.835
vrFragment_trace.txt_vr_frag_thput_mbps,0.181,1.414,0.642
vrFragment_trace.txt_vr_burst_thput_mbps,6.763,1.437,0.645
vrFragment_trace.txt_vr_frag_time,40.238,1.046,0.85
vrFragment_trace.txt_vr_burst_time,40.843,1.105,0.848
delay_trace.txt_ul_delay,8.111,0.382,0.452
delay_trace.txt_dl_delay,8.546,0.922,0.723
vrFragment_trace.txt_vr_frag_thput_mbps,0.194,1.48,0.581
vrFragment_trace.txt_vr_burst_thput_mbps,7.295,1.5,0.582
vrFragment_trace.txt_vr_frag_time,42.682,1.079,0.821
vrFragment_trace.txt_vr_burst_time,43.627,1.139,0.817
delay_trace.txt_ul_delay,8.568,0.401,0.339
delay_trace.txt_dl_delay,9.522,1.015,0.648
