vrFragment_trace.txt_vr_frag_thput_mbps,0.022,0.245,0.995
vrFragment_trace.txt_vr_burst_thput_mbps,0.859,0.237,0.994
vrFragment_trace.txt_vr_frag_time,9.618,0.279,0.993
vrFragment_trace.txt_vr_burst_time,8.873,0.288,0.994
delay_trace.txt_ul_delay,1.568,0.093,0.987
delay_trace.txt_dl_delay,1.754,0.21,0.994
vrFragment_trace.txt_vr_frag_thput_mbps,0.119,0.815,0.819
vrFragment_trace.txt_vr_burst_thput_mbps,4.552,0.787,0.815
vrFragment_trace.txt_vr_frag_time,28.961,0.692,0.925
vrFragment_trace.txt_vr_burst_time,30.319,0.757,0.923
delay_trace.txt_ul_delay,5.816,0.281,0.819
delay_trace.txt_dl_delay,5.748,0.606,0.875
vrFragment_trace.txt_vr_frag_thput_mbps,0.153,1.227,0.733
vrFragment_trace.txt_vr_burst_thput_mbps,5.776,1.245,0.729
vrFragment_trace.txt_vr_frag_time,35.327,0.883,0.866
vrFragment_trace.txt_vr_burst_time,35.85,0.94,0.866
delay_trace.txt_ul_delay,6.866,0.32,0.568
delay_trace.txt_dl_delay,7.556,0.788,0.775
vrFragment_trace.txt_vr_frag_thput_mbps,0.163,1.271,0.693
vrFragment_trace.txt_vr_burst_thput_mbps,6.127,1.276,0.69
vrFragment_trace.txt_vr_frag_time,37.211,0.91,0.844
vrFragment_trace.txt_vr_burst_time,38.013,0.965,0.841
delay_trace.txt_ul_delay,7.184,0.328,0.475
delay_trace.txt_dl_delay,8.284,0.848,0.716
