vrFragment_trace.txt_vr_frag_thput_mbps,0.024,0.248,0.994
vrFragment_trace.txt_vr_burst_thput_mbps,0.927,0.29,0.994
vrFragment_trace.txt_vr_frag_time,11.744,0.333,0.988
vrFragment_trace.txt_vr_burst_time,10.029,0.305,0.992
delay_trace.txt_ul_delay,1.865,0.106,0.982
delay_trace.txt_dl_delay,2.131,0.271,0.992
vrFragment_trace.txt_vr_frag_thput_mbps,0.134,0.922,0.78
vrFragment_trace.txt_vr_burst_thput_mbps,4.928,0.879,0.784
vrFragment_trace.txt_vr_frag_time,33.307,0.772,0.898
vrFragment_trace.txt_vr_burst_time,33.561,0.822,0.908
delay_trace.txt_ul_delay,6.396,0.304,0.765
delay_trace.txt_dl_delay,6.934,0.753,0.829
vrFragment_trace.txt_vr_frag_thput_mbps,0.166,1.366,0.693
vrFragment_trace.txt_vr_burst_thput_mbps,6.191,1.382,0.695
vrFragment_trace.txt_vr_frag_time,39.701,1.007,0.843
vrFragment_trace.txt_vr_burst_time,40.211,1.071,0.843
delay_trace.txt_ul_delay,7.054,0.328,0.561
delay_trace.txt_dl_delay,8.642,0.93,0.717
vrFragment_trace.txt_vr_frag_thput_mbps,0.176,1.413,0.65
vrFragment_trace.txt_vr_burst_thput_mbps,6.608,1.43,0.647
vrFragment_trace.txt_vr_frag_time,41.519,1.028,0.822
vrFragment_trace.txt_vr_burst_time,42.26,1.092,0.82
delay_trace.txt_ul_delay,7.428,0.341,0.464
delay_trace.txt_dl_delay,9.448,1.001,0.653
