vrFragment_trace.txt_vr_frag_thput_mbps,0.216,1.035,0.32
vrFragment_trace.txt_vr_burst_thput_mbps,9.764,0.655,-0.246
vrFragment_trace.txt_vr_frag_time,122.968,0.771,-0.7
vrFragment_trace.txt_vr_burst_time,125.922,0.805,-0.687
delay_trace.txt_dl_delay,13.567,0.405,-0.117
vrFragment_trace.txt_vr_frag_thput_mbps,0.208,0.885,0.328
vrFragment_trace.txt_vr_burst_thput_mbps,9.302,0.688,-0.109
vrFragment_trace.txt_vr_frag_time,113.85,0.795,-0.511
vrFragment_trace.txt_vr_burst_time,113.826,0.81,-0.49
delay_trace.txt_dl_delay,12.287,0.311,-0.13
vrFragment_trace.txt_vr_frag_thput_mbps,0.2,1.001,0.362
vrFragment_trace.txt_vr_burst_thput_mbps,9.026,0.664,-0.037
vrFragment_trace.txt_vr_frag_time,94.796,1.185,-0.133
vrFragment_trace.txt_vr_burst_time,94.739,1.26,-0.125
delay_trace.txt_dl_delay,11.992,0.282,-0.122
vrFragment_trace.txt_vr_frag_thput_mbps,0.19,0.863,0.442
vrFragment_trace.txt_vr_burst_thput_mbps,8.685,0.651,0.06
vrFragment_trace.txt_vr_frag_time,76.822,1.447,0.246
vrFragment_trace.txt_vr_burst_time,78.535,1.54,0.249
delay_trace.txt_dl_delay,11.986,0.632,-0.013
vrFragment_trace.txt_vr_frag_thput_mbps,0.178,0.67,0.472
vrFragment_trace.txt_vr_burst_thput_mbps,7.412,0.698,0.367
vrFragment_trace.txt_vr_frag_time,57.376,0.952,0.543
vrFragment_trace.txt_vr_burst_time,57.907,0.999,0.552
delay_trace.txt_dl_delay,11.465,0.476,-0.004
vrFragment_trace.txt_vr_frag_thput_mbps,0.171,0.662,0.496
vrFragment_trace.txt_vr_burst_thput_mbps,6.904,0.631,0.43
vrFragment_trace.txt_vr_frag_time,52.27,0.85,0.621
vrFragment_trace.txt_vr_burst_time,53.174,0.877,0.62
delay_trace.txt_dl_delay,11.199,0.446,0.029
