vrFragment_trace.txt_vr_frag_thput_mbps,0.239,2.477,0.435
vrFragment_trace.txt_vr_burst_thput_mbps,9.199,1.881,0.309
vrFragment_trace.txt_vr_frag_time,94.357,0.856,-0.168
vrFragment_trace.txt_vr_burst_time,97.991,0.975,-0.151
delay_trace.txt_dl_delay,16.564,1.661,0.143
vrFragment_trace.txt_vr_frag_thput_mbps,0.242,2.158,0.372
vrFragment_trace.txt_vr_burst_thput_mbps,7.934,1.332,0.466
vrFragment_trace.txt_vr_frag_time,75.615,1.553,0.289
vrFragment_trace.txt_vr_burst_time,75.999,1.585,0.309
delay_trace.txt_dl_delay,15.017,1.596,0.172
vrFragment_trace.txt_vr_frag_thput_mbps,0.221,1.623,0.452
vrFragment_trace.txt_vr_burst_thput_mbps,7.627,1.19,0.477
vrFragment_trace.txt_vr_frag_time,66.793,1.325,0.445
vrFragment_trace.txt_vr_burst_time,69.354,1.59,0.449
delay_trace.txt_dl_delay,16.129,1.883,0.2
vrFragment_trace.txt_vr_frag_thput_mbps,0.212,1.83,0.493
vrFragment_trace.txt_vr_burst_thput_mbps,7.713,1.182,0.47
vrFragment_trace.txt_vr_frag_time,61.371,1.109,0.543
vrFragment_trace.txt_vr_burst_time,63.02,1.24,0.54
delay_trace.txt_dl_delay,17.23,2.168,0.209
vrFragment_trace.txt_vr_frag_thput_mbps,0.191,1.412,0.57
vrFragment_trace.txt_vr_burst_thput_mbps,7.094,1.082,0.553
vrFragment_trace.txt_vr_frag_time,53.706,0.868,0.659
vrFragment_trace.txt_vr_burst_time,53.821,0.885,0.665
delay_trace.txt_dl_delay,11.093,0.866,0.318
vrFragment_trace.txt_vr_frag_thput_mbps,0.179,1.138,0.589
vrFragment_trace.txt_vr_burst_thput_mbps,6.793,1.013,0.573
vrFragment_trace.txt_vr_frag_time,48.455,0.777,0.716
vrFragment_trace.txt_vr_burst_time,49.137,0.807,0.712
delay_trace.txt_dl_delay,11.152,0.876,0.323
