vrFragment_trace.txt_vr_frag_thput_mbps,0.125,0.738,0.769
vrFragment_trace.txt_vr_burst_thput_mbps,5.222,0.516,0.632
vrFragment_trace.txt_vr_frag_time,36.436,0.453,0.795
vrFragment_trace.txt_vr_burst_time,33.945,0.495,0.856
delay_trace.txt_dl_delay,12.338,0.48,0.059
vrFragment_trace.txt_vr_frag_thput_mbps,0.151,0.658,0.598
vrFragment_trace.txt_vr_burst_thput_mbps,4.72,0.484,0.671
vrFragment_trace.txt_vr_frag_time,33.414,0.4,0.839
vrFragment_trace.txt_vr_burst_time,30.921,0.514,0.89
delay_trace.txt_dl_delay,11.622,0.74,0.13
vrFragment_trace.txt_vr_frag_thput_mbps,0.137,0.525,0.637
vrFragment_trace.txt_vr_burst_thput_mbps,4.748,0.437,0.67
vrFragment_trace.txt_vr_frag_time,31.678,0.456,0.866
vrFragment_trace.txt_vr_burst_time,31.294,0.499,0.884
delay_trace.txt_dl_delay,10.323,0.565,0.267
vrFragment_trace.txt_vr_frag_thput_mbps,0.133,0.555,0.661
vrFragment_trace.txt_vr_burst_thput_mbps,5.085,0.556,0.671
vrFragment_trace.txt_vr_frag_time,33.742,0.469,0.843
vrFragment_trace.txt_vr_burst_time,32.626,0.493,0.868
delay_trace.txt_dl_delay,10.299,0.707,0.317
vrFragment_trace.txt_vr_frag_thput_mbps,0.126,0.433,0.678
vrFragment_trace.txt_vr_burst_thput_mbps,4.89,0.518,0.678
vrFragment_trace.txt_vr_frag_time,31.334,0.4,0.862
vrFragment_trace.txt_vr_burst_time,32.189,0.436,0.852
delay_trace.txt_dl_delay,9.555,0.563,0.355
vrFragment_trace.txt_vr_frag_thput_mbps,0.122,0.453,0.69
vrFragment_trace.txt_vr_burst_thput_mbps,4.616,0.41,0.694
vrFragment_trace.txt_vr_frag_time,30.704,0.385,0.863
vrFragment_trace.txt_vr_burst_time,31.274,0.412,0.859
delay_trace.txt_dl_delay,9.675,0.675,0.378
