vrFragment_trace.txt_vr_frag_thput_mbps,0.042,0.289,0.978
vrFragment_trace.txt_vr_burst_thput_mbps,5.828,0.73,0.677
vrFragment_trace.txt_vr_frag_time,103.495,0.725,-0.165
vrFragment_trace.txt_vr_burst_time,102.653,0.717,-0.135
delay_trace.txt_dl_delay,9.464,0.594,0.383
vrFragment_trace.txt_vr_frag_thput_mbps,0.043,0.353,0.973
vrFragment_trace.txt_vr_burst_thput_mbps,4.656,0.686,0.793
vrFragment_trace.txt_vr_frag_time,53.687,0.7,0.653
vrFragment_trace.txt_vr_burst_time,59.183,0.7,0.641
delay_trace.txt_dl_delay,8.571,0.724,0.669
vrFragment_trace.txt_vr_frag_thput_mbps,0.043,0.411,0.974
vrFragment_trace.txt_vr_burst_thput_mbps,4.664,0.735,0.794
vrFragment_trace.txt_vr_frag_time,32.697,0.486,0.894
vrFragment_trace.txt_vr_burst_time,34.961,0.547,0.857
delay_trace.txt_dl_delay,5.929,0.538,0.836
vrFragment_trace.txt_vr_frag_thput_mbps,0.043,0.39,0.977
vrFragment_trace.txt_vr_burst_thput_mbps,4.504,0.741,0.812
vrFragment_trace.txt_vr_frag_time,27.204,0.46,0.921
vrFragment_trace.txt_vr_burst_time,27.555,0.486,0.926
delay_trace.txt_dl_delay,4.442,0.382,0.881
vrFragment_trace.txt_vr_frag_thput_mbps,0.044,0.401,0.977
vrFragment_trace.txt_vr_burst_thput_mbps,3.305,0.518,0.887
vrFragment_trace.txt_vr_frag_time,15.093,0.345,0.975
vrFragment_trace.txt_vr_burst_time,16.602,0.382,0.968
delay_trace.txt_dl_delay,1.873,0.138,0.97
vrFragment_trace.txt_vr_frag_thput_mbps,0.042,0.349,0.978
vrFragment_trace.txt_vr_burst_thput_mbps,2.501,0.389,0.931
vrFragment_trace.txt_vr_frag_time,8.609,0.23,0.989
vrFragment_trace.txt_vr_burst_time,11.369,0.287,0.981
delay_trace.txt_dl_delay,1.791,0.132,0.967
