vrFragment_trace.txt_vr_frag_thput_mbps,0.187,2.409,0.637
vrFragment_trace.txt_vr_burst_thput_mbps,7.223,1.202,0.505
vrFragment_trace.txt_vr_frag_time,108.231,0.742,-0.347
vrFragment_trace.txt_vr_burst_time,116.179,0.759,-0.427
delay_trace.txt_dl_delay,11.202,0.576,0.068
vrFragment_trace.txt_vr_frag_thput_mbps,0.177,2.391,0.685
vrFragment_trace.txt_vr_burst_thput_mbps,6.208,0.876,0.644
vrFragment_trace.txt_vr_frag_time,72.824,0.984,0.354
vrFragment_trace.txt_vr_burst_time,75.166,1.036,0.34
delay_trace.txt_dl_delay,12.916,1.261,0.244
vrFragment_trace.txt_vr_frag_thput_mbps,0.172,1.83,0.678
vrFragment_trace.txt_vr_burst_thput_mbps,5.894,0.98,0.68
vrFragment_trace.txt_vr_frag_time,43.509,0.707,0.748
vrFragment_trace.txt_vr_burst_time,48.966,0.705,0.682
delay_trace.txt_dl_delay,12.966,1.293,0.297
vrFragment_trace.txt_vr_frag_thput_mbps,0.156,1.673,0.734
vrFragment_trace.txt_vr_burst_thput_mbps,5.777,0.936,0.689
vrFragment_trace.txt_vr_frag_time,36.165,0.542,0.835
vrFragment_trace.txt_vr_burst_time,36.79,0.553,0.835
delay_trace.txt_dl_delay,14.231,1.537,0.267
vrFragment_trace.txt_vr_frag_thput_mbps,0.129,1.074,0.804
vrFragment_trace.txt_vr_burst_thput_mbps,4.7,0.615,0.765
vrFragment_trace.txt_vr_frag_time,26.575,0.511,0.901
vrFragment_trace.txt_vr_burst_time,27.606,0.572,0.904
delay_trace.txt_dl_delay,9.139,0.663,0.479
vrFragment_trace.txt_vr_frag_thput_mbps,0.122,0.886,0.815
vrFragment_trace.txt_vr_burst_thput_mbps,4.484,0.591,0.781
vrFragment_trace.txt_vr_frag_time,22.863,0.444,0.92
vrFragment_trace.txt_vr_burst_time,22.956,0.498,0.925
delay_trace.txt_dl_delay,8.819,0.671,0.528
