vrFragment_trace.txt_vr_frag_thput_mbps,0.256,2.823,0.308
vrFragment_trace.txt_vr_burst_thput_mbps,9.558,2.553,0.299
vrFragment_trace.txt_vr_frag_time,95.773,0.952,-0.086
vrFragment_trace.txt_vr_burst_time,99.952,0.878,-0.151
delay_trace.txt_dl_delay,14.891,1.592,0.128
vrFragment_trace.txt_vr_frag_thput_mbps,0.228,2.338,0.441
vrFragment_trace.txt_vr_burst_thput_mbps,8.764,1.883,0.399
vrFragment_trace.txt_vr_frag_time,80.744,1.718,0.306
vrFragment_trace.txt_vr_burst_time,80.105,1.63,0.292
delay_trace.txt_dl_delay,14.729,1.655,0.22
vrFragment_trace.txt_vr_frag_thput_mbps,0.223,2.242,0.405
vrFragment_trace.txt_vr_burst_thput_mbps,8.35,1.637,0.439
vrFragment_trace.txt_vr_frag_time,73.033,1.649,0.43
vrFragment_trace.txt_vr_burst_time,73.863,1.79,0.397
delay_trace.txt_dl_delay,13.394,1.32,0.246
vrFragment_trace.txt_vr_frag_thput_mbps,0.193,1.406,0.534
vrFragment_trace.txt_vr_burst_thput_mbps,7.913,1.534,0.492
vrFragment_trace.txt_vr_frag_time,63.565,1.398,0.53
vrFragment_trace.txt_vr_burst_time,64.636,1.472,0.514
delay_trace.txt_dl_delay,12.688,1.165,0.267
vrFragment_trace.txt_vr_frag_thput_mbps,0.164,1.008,0.661
vrFragment_trace.txt_vr_burst_thput_mbps,6.717,1.132,0.614
vrFragment_trace.txt_vr_frag_time,46.979,0.944,0.722
vrFragment_trace.txt_vr_burst_time,48.632,1.05,0.721
delay_trace.txt_dl_delay,10.482,0.776,0.367
vrFragment_trace.txt_vr_frag_thput_mbps,0.168,1.453,0.675
vrFragment_trace.txt_vr_burst_thput_mbps,6.256,1.033,0.651
vrFragment_trace.txt_vr_frag_time,41.866,0.773,0.775
vrFragment_trace.txt_vr_burst_time,42.429,0.805,0.772
delay_trace.txt_dl_delay,10.346,0.783,0.39
