vrFragment_trace.txt_vr_frag_thput_mbps,0.12,1.494,0.843
vrFragment_trace.txt_vr_burst_thput_mbps,4.26,0.745,0.828
vrFragment_trace.txt_vr_frag_time,27.698,0.551,0.904
vrFragment_trace.txt_vr_burst_time,24.987,0.554,0.927
delay_trace.txt_dl_delay,12.386,1.12,0.245
vrFragment_trace.txt_vr_frag_thput_mbps,0.131,1.715,0.833
vrFragment_trace.txt_vr_burst_thput_mbps,3.818,0.64,0.854
vrFragment_trace.txt_vr_frag_time,23.288,0.458,0.933
vrFragment_trace.txt_vr_burst_time,22.428,0.509,0.949
delay_trace.txt_dl_delay,11.292,1.107,0.386
vrFragment_trace.txt_vr_frag_thput_mbps,0.135,1.531,0.805
vrFragment_trace.txt_vr_burst_thput_mbps,3.667,0.498,0.853
vrFragment_trace.txt_vr_frag_time,19.083,0.401,0.962
vrFragment_trace.txt_vr_burst_time,25.764,0.389,0.932
delay_trace.txt_dl_delay,11.633,1.236,0.453
vrFragment_trace.txt_vr_frag_thput_mbps,0.122,0.869,0.814
vrFragment_trace.txt_vr_burst_thput_mbps,3.646,0.466,0.849
vrFragment_trace.txt_vr_frag_time,17.718,0.297,0.968
vrFragment_trace.txt_vr_burst_time,18.37,0.339,0.967
delay_trace.txt_dl_delay,15.452,1.937,0.351
vrFragment_trace.txt_vr_frag_thput_mbps,0.089,0.946,0.916
vrFragment_trace.txt_vr_burst_thput_mbps,2.216,0.264,0.937
vrFragment_trace.txt_vr_frag_time,9.957,0.18,0.99
vrFragment_trace.txt_vr_burst_time,12.37,0.236,0.981
delay_trace.txt_dl_delay,8.508,0.573,0.525
vrFragment_trace.txt_vr_frag_thput_mbps,0.058,0.41,0.958
vrFragment_trace.txt_vr_burst_thput_mbps,2.081,0.232,0.941
vrFragment_trace.txt_vr_frag_time,9.4,0.171,0.991
vrFragment_trace.txt_vr_burst_time,10.729,0.203,0.986
delay_trace.txt_dl_delay,6.621,0.411,0.717
