vrFragment_trace.txt_vr_frag_thput_mbps,0.245,2.8,0.34
vrFragment_trace.txt_vr_burst_thput_mbps,8.083,0.967,0.363
vrFragment_trace.txt_vr_frag_time,117.873,0.75,-0.532
vrFragment_trace.txt_vr_burst_time,127.271,0.774,-0.648
delay_trace.txt_dl_delay,11.501,0.53,-0.04
vrFragment_trace.txt_vr_frag_thput_mbps,0.231,2.42,0.416
vrFragment_trace.txt_vr_burst_thput_mbps,7.281,1.045,0.523
vrFragment_trace.txt_vr_frag_time,74.23,0.867,0.393
vrFragment_trace.txt_vr_burst_time,80.162,0.893,0.278
delay_trace.txt_dl_delay,11.09,0.407,-0.044
vrFragment_trace.txt_vr_frag_thput_mbps,0.224,1.854,0.45
vrFragment_trace.txt_vr_burst_thput_mbps,7.208,1.086,0.542
vrFragment_trace.txt_vr_frag_time,60.316,0.877,0.644
vrFragment_trace.txt_vr_burst_time,62.631,0.871,0.577
delay_trace.txt_dl_delay,11.539,0.5,-0.008
vrFragment_trace.txt_vr_frag_thput_mbps,0.206,1.702,0.496
vrFragment_trace.txt_vr_burst_thput_mbps,7.099,1.057,0.555
vrFragment_trace.txt_vr_frag_time,47.239,0.657,0.761
vrFragment_trace.txt_vr_burst_time,49.025,0.703,0.732
delay_trace.txt_dl_delay,12.231,0.613,-0.032
vrFragment_trace.txt_vr_frag_thput_mbps,0.194,1.479,0.555
vrFragment_trace.txt_vr_burst_thput_mbps,6.939,1.113,0.563
vrFragment_trace.txt_vr_frag_time,43.005,0.706,0.786
vrFragment_trace.txt_vr_burst_time,43.494,0.756,0.79
delay_trace.txt_dl_delay,13.721,1.149,0.059
vrFragment_trace.txt_vr_frag_thput_mbps,0.185,1.241,0.58
vrFragment_trace.txt_vr_burst_thput_mbps,6.65,1.003,0.585
vrFragment_trace.txt_vr_frag_time,42.167,0.75,0.793
vrFragment_trace.txt_vr_burst_time,42.921,0.799,0.791
delay_trace.txt_dl_delay,16.059,1.348,-0.36
