vrFragment_trace.txt_vr_frag_thput_mbps,0.091,0.674,0.869
vrFragment_trace.txt_vr_burst_thput_mbps,4.006,0.366,0.786
vrFragment_trace.txt_vr_frag_time,23.685,0.381,0.905
vrFragment_trace.txt_vr_burst_time,23.782,0.305,0.912
delay_trace.txt_dl_delay,10.275,0.302,0.01
vrFragment_trace.txt_vr_frag_thput_mbps,0.098,0.419,0.825
vrFragment_trace.txt_vr_burst_thput_mbps,3.442,0.296,0.81
vrFragment_trace.txt_vr_frag_time,18.164,0.388,0.955
vrFragment_trace.txt_vr_burst_time,18.728,0.377,0.948
delay_trace.txt_dl_delay,10.136,0.334,0.047
vrFragment_trace.txt_vr_frag_thput_mbps,0.096,0.348,0.808
vrFragment_trace.txt_vr_burst_thput_mbps,3.496,0.31,0.816
vrFragment_trace.txt_vr_frag_time,17.474,0.317,0.962
vrFragment_trace.txt_vr_burst_time,16.267,0.344,0.962
delay_trace.txt_dl_delay,9.839,0.507,0.238
vrFragment_trace.txt_vr_frag_thput_mbps,0.091,0.317,0.821
vrFragment_trace.txt_vr_burst_thput_mbps,3.753,0.341,0.791
vrFragment_trace.txt_vr_frag_time,15.248,0.238,0.968
vrFragment_trace.txt_vr_burst_time,15.898,0.3,0.963
delay_trace.txt_dl_delay,9.804,0.581,0.332
vrFragment_trace.txt_vr_frag_thput_mbps,0.074,0.205,0.863
vrFragment_trace.txt_vr_burst_thput_mbps,3.032,0.225,0.852
vrFragment_trace.txt_vr_frag_time,14.631,0.198,0.974
vrFragment_trace.txt_vr_burst_time,12.653,0.191,0.973
delay_trace.txt_dl_delay,8.651,0.416,0.378
vrFragment_trace.txt_vr_frag_thput_mbps,0.053,0.17,0.929
vrFragment_trace.txt_vr_burst_thput_mbps,2.604,0.198,0.89
vrFragment_trace.txt_vr_frag_time,16.737,0.156,0.973
vrFragment_trace.txt_vr_burst_time,17.598,0.168,0.963
delay_trace.txt_dl_delay,8.928,0.587,0.39
