vrFragment_trace.txt_vr_frag_thput_mbps,0.003,0.032,1.0
vrFragment_trace.txt_vr_burst_thput_mbps,0.673,0.225,0.995
vrFragment_trace.txt_vr_frag_time,15.293,0.297,0.98
vrFragment_trace.txt_vr_burst_time,16.443,0.384,0.972
delay_trace.txt_ul_delay,1.0,0.06,0.99
delay_trace.txt_dl_delay,0.661,0.108,0.999
vrFragment_trace.txt_vr_frag_thput_mbps,0.019,0.12,0.994
vrFragment_trace.txt_vr_burst_thput_mbps,1.048,0.225,0.99
vrFragment_trace.txt_vr_frag_time,16.188,0.286,0.975
vrFragment_trace.txt_vr_burst_time,16.407,0.258,0.972
delay_trace.txt_ul_delay,2.024,0.102,0.97
delay_trace.txt_dl_delay,1.345,0.136,0.993
vrFragment_trace.txt_vr_frag_thput_mbps,0.031,0.216,0.987
vrFragment_trace.txt_vr_burst_thput_mbps,3.018,0.418,0.894
vrFragment_trace.txt_vr_frag_time,25.941,0.365,0.921
vrFragment_trace.txt_vr_burst_time,25.303,0.375,0.925
delay_trace.txt_ul_delay,3.644,0.187,0.923
delay_trace.txt_dl_delay,3.042,0.307,0.963
vrFragment_trace.txt_vr_frag_thput_mbps,0.039,0.32,0.978
vrFragment_trace.txt_vr_burst_thput_mbps,2.975,0.415,0.9
vrFragment_trace.txt_vr_frag_time,22.877,0.341,0.939
vrFragment_trace.txt_vr_burst_time,24.455,0.374,0.931
delay_trace.txt_ul_delay,3.686,0.179,0.906
delay_trace.txt_dl_delay,3.193,0.283,0.953
