vrFragment_trace.txt_vr_frag_thput_mbps,0.151,1.42,0.746
vrFragment_trace.txt_vr_burst_thput_mbps,6.013,0.806,0.656
vrFragment_trace.txt_vr_frag_time,42.308,0.664,0.792
vrFragment_trace.txt_vr_burst_time,43.607,0.739,0.795
delay_trace.txt_ul_delay,7.005,0.275,0.442
delay_trace.txt_dl_delay,10.682,1.024,0.607
vrFragment_trace.txt_vr_frag_thput_mbps,0.157,1.148,0.715
vrFragment_trace.txt_vr_burst_thput_mbps,5.255,0.694,0.715
vrFragment_trace.txt_vr_frag_time,32.706,0.475,0.875
vrFragment_trace.txt_vr_burst_time,31.933,0.557,0.887
delay_trace.txt_ul_delay,7.557,0.295,0.425
delay_trace.txt_dl_delay,5.034,0.353,0.856
vrFragment_trace.txt_vr_frag_thput_mbps,0.131,0.795,0.755
vrFragment_trace.txt_vr_burst_thput_mbps,4.149,0.492,0.792
vrFragment_trace.txt_vr_frag_time,27.391,0.397,0.899
vrFragment_trace.txt_vr_burst_time,28.56,0.407,0.89
delay_trace.txt_ul_delay,6.268,0.244,0.475
delay_trace.txt_dl_delay,5.393,0.398,0.828
vrFragment_trace.txt_vr_frag_thput_mbps,0.116,0.601,0.787
vrFragment_trace.txt_vr_burst_thput_mbps,4.101,0.506,0.797
vrFragment_trace.txt_vr_frag_time,27.609,0.387,0.897
vrFragment_trace.txt_vr_burst_time,29.111,0.419,0.885
delay_trace.txt_ul_delay,6.006,0.228,0.494
delay_trace.txt_dl_delay,5.367,0.411,0.833
