vrFragment_trace.txt_vr_frag_thput_mbps,0.132,1.034,0.809
vrFragment_trace.txt_vr_burst_thput_mbps,9.727,0.618,-0.185
vrFragment_trace.txt_vr_frag_time,122.661,0.808,-0.674
vrFragment_trace.txt_vr_burst_time,125.226,0.802,-0.684
delay_trace.txt_ul_delay,13.0,0.538,-1.707
delay_trace.txt_dl_delay,12.096,0.302,-0.094
vrFragment_trace.txt_vr_frag_thput_mbps,0.127,0.835,0.798
vrFragment_trace.txt_vr_burst_thput_mbps,6.779,0.945,0.592
vrFragment_trace.txt_vr_frag_time,56.265,0.793,0.656
vrFragment_trace.txt_vr_burst_time,56.132,0.83,0.667
delay_trace.txt_ul_delay,7.73,0.338,0.202
delay_trace.txt_dl_delay,10.494,0.995,0.502
vrFragment_trace.txt_vr_frag_thput_mbps,0.131,0.913,0.771
vrFragment_trace.txt_vr_burst_thput_mbps,6.069,0.938,0.66
vrFragment_trace.txt_vr_frag_time,40.642,0.549,0.812
vrFragment_trace.txt_vr_burst_time,41.84,0.573,0.809
delay_trace.txt_ul_delay,7.307,0.316,0.369
delay_trace.txt_dl_delay,7.359,0.669,0.714
vrFragment_trace.txt_vr_frag_thput_mbps,0.124,0.77,0.787
vrFragment_trace.txt_vr_burst_thput_mbps,5.668,0.881,0.696
vrFragment_trace.txt_vr_frag_time,36.507,0.61,0.842
vrFragment_trace.txt_vr_burst_time,37.247,0.649,0.84
delay_trace.txt_ul_delay,6.739,0.285,0.38
delay_trace.txt_dl_delay,6.741,0.591,0.742
