vrFragment_trace.txt_vr_frag_thput_mbps,0.172,2.141,0.7
vrFragment_trace.txt_vr_burst_thput_mbps,4.972,0.81,0.769
vrFragment_trace.txt_vr_frag_time,38.704,0.724,0.814
vrFragment_trace.txt_vr_burst_time,36.936,0.823,0.843
delay_trace.txt_ul_delay,6.866,0.274,0.459
delay_trace.txt_dl_delay,11.371,1.278,0.619
vrFragment_trace.txt_vr_frag_thput_mbps,0.159,1.365,0.708
vrFragment_trace.txt_vr_burst_thput_mbps,4.997,0.778,0.758
vrFragment_trace.txt_vr_frag_time,31.198,0.489,0.88
vrFragment_trace.txt_vr_burst_time,30.289,0.489,0.893
delay_trace.txt_ul_delay,7.709,0.305,0.473
delay_trace.txt_dl_delay,4.92,0.385,0.885
vrFragment_trace.txt_vr_frag_thput_mbps,0.124,1.083,0.818
vrFragment_trace.txt_vr_burst_thput_mbps,3.982,0.502,0.814
vrFragment_trace.txt_vr_frag_time,26.712,0.384,0.906
vrFragment_trace.txt_vr_burst_time,28.298,0.408,0.896
delay_trace.txt_ul_delay,5.819,0.228,0.618
delay_trace.txt_dl_delay,4.931,0.408,0.87
vrFragment_trace.txt_vr_frag_thput_mbps,0.117,0.838,0.815
vrFragment_trace.txt_vr_burst_thput_mbps,4.05,0.494,0.808
vrFragment_trace.txt_vr_frag_time,26.741,0.372,0.907
vrFragment_trace.txt_vr_burst_time,27.299,0.417,0.903
delay_trace.txt_ul_delay,5.733,0.222,0.6
delay_trace.txt_dl_delay,5.104,0.44,0.861
