vrFragment_trace.txt_vr_frag_thput_mbps,0.076,0.592,0.927
vrFragment_trace.txt_vr_burst_thput_mbps,6.612,0.666,0.524
vrFragment_trace.txt_vr_frag_time,84.881,1.311,0.085
vrFragment_trace.txt_vr_burst_time,112.057,0.84,-0.488
delay_trace.txt_ul_delay,8.72,0.354,0.079
delay_trace.txt_dl_delay,10.146,0.536,0.375
vrFragment_trace.txt_vr_frag_thput_mbps,0.113,0.621,0.798
vrFragment_trace.txt_vr_burst_thput_mbps,4.242,0.525,0.791
vrFragment_trace.txt_vr_frag_time,39.353,0.628,0.769
vrFragment_trace.txt_vr_burst_time,36.158,0.569,0.819
delay_trace.txt_ul_delay,7.067,0.289,0.497
delay_trace.txt_dl_delay,5.247,0.396,0.861
vrFragment_trace.txt_vr_frag_thput_mbps,0.106,0.467,0.805
vrFragment_trace.txt_vr_burst_thput_mbps,4.319,0.51,0.771
vrFragment_trace.txt_vr_frag_time,33.082,0.618,0.861
vrFragment_trace.txt_vr_burst_time,31.638,0.478,0.862
delay_trace.txt_ul_delay,7.18,0.304,0.426
delay_trace.txt_dl_delay,6.308,0.523,0.767
vrFragment_trace.txt_vr_frag_thput_mbps,0.103,0.397,0.791
vrFragment_trace.txt_vr_burst_thput_mbps,4.216,0.493,0.785
vrFragment_trace.txt_vr_frag_time,31.923,0.654,0.876
vrFragment_trace.txt_vr_burst_time,33.058,0.754,0.869
delay_trace.txt_ul_delay,7.035,0.293,0.377
delay_trace.txt_dl_delay,5.867,0.501,0.805
