vrFragment_trace.txt_vr_frag_thput_mbps,0.15,1.715,0.748
vrFragment_trace.txt_vr_burst_thput_mbps,4.713,0.433,0.646
vrFragment_trace.txt_vr_frag_time,37.641,0.347,0.76
vrFragment_trace.txt_vr_burst_time,39.068,0.386,0.804
delay_trace.txt_dl_delay,10.713,0.224,0.128
vrFragment_trace.txt_vr_frag_thput_mbps,0.17,1.663,0.644
vrFragment_trace.txt_vr_burst_thput_mbps,4.406,0.431,0.718
vrFragment_trace.txt_vr_frag_time,35.073,0.335,0.827
vrFragment_trace.txt_vr_burst_time,39.811,0.368,0.808
delay_trace.txt_dl_delay,7.101,0.212,0.541
vrFragment_trace.txt_vr_frag_thput_mbps,0.167,1.709,0.638
vrFragment_trace.txt_vr_burst_thput_mbps,4.372,0.398,0.728
vrFragment_trace.txt_vr_frag_time,34.645,0.356,0.828
vrFragment_trace.txt_vr_burst_time,32.99,0.386,0.858
delay_trace.txt_dl_delay,5.208,0.22,0.793
vrFragment_trace.txt_vr_frag_thput_mbps,0.151,0.948,0.668
vrFragment_trace.txt_vr_burst_thput_mbps,4.604,0.393,0.698
vrFragment_trace.txt_vr_frag_time,36.123,0.368,0.807
vrFragment_trace.txt_vr_burst_time,32.817,0.383,0.859
delay_trace.txt_dl_delay,4.93,0.229,0.803
vrFragment_trace.txt_vr_frag_thput_mbps,0.119,0.538,0.737
vrFragment_trace.txt_vr_burst_thput_mbps,3.914,0.364,0.772
vrFragment_trace.txt_vr_frag_time,27.34,0.335,0.884
vrFragment_trace.txt_vr_burst_time,28.523,0.343,0.873
delay_trace.txt_dl_delay,4.771,0.265,0.821
vrFragment_trace.txt_vr_frag_thput_mbps,0.116,0.63,0.76
vrFragment_trace.txt_vr_burst_thput_mbps,3.816,0.347,0.78
vrFragment_trace.txt_vr_frag_time,26.631,0.315,0.887
vrFragment_trace.txt_vr_burst_time,28.579,0.337,0.869
delay_trace.txt_dl_delay,4.816,0.266,0.814
