vrFragment_trace.txt_vr_frag_thput_mbps,0.181,0.924,0.58
vrFragment_trace.txt_vr_burst_thput_mbps,4.95,0.427,0.625
vrFragment_trace.txt_vr_frag_time,33.283,0.401,0.807
vrFragment_trace.txt_vr_burst_time,31.111,0.434,0.873
delay_trace.txt_dl_delay,10.074,0.347,0.295
vrFragment_trace.txt_vr_frag_thput_mbps,0.175,0.929,0.533
vrFragment_trace.txt_vr_burst_thput_mbps,4.805,0.514,0.677
vrFragment_trace.txt_vr_frag_time,32.391,0.376,0.843
vrFragment_trace.txt_vr_burst_time,29.658,0.536,0.898
delay_trace.txt_dl_delay,6.442,0.329,0.709
vrFragment_trace.txt_vr_frag_thput_mbps,0.154,0.809,0.621
vrFragment_trace.txt_vr_burst_thput_mbps,4.72,0.487,0.69
vrFragment_trace.txt_vr_frag_time,31.634,0.427,0.865
vrFragment_trace.txt_vr_burst_time,31.35,0.491,0.882
delay_trace.txt_dl_delay,5.353,0.247,0.799
vrFragment_trace.txt_vr_frag_thput_mbps,0.135,0.638,0.664
vrFragment_trace.txt_vr_burst_thput_mbps,5.177,0.557,0.649
vrFragment_trace.txt_vr_frag_time,31.277,0.409,0.861
vrFragment_trace.txt_vr_burst_time,32.505,0.447,0.871
delay_trace.txt_dl_delay,5.471,0.297,0.786
vrFragment_trace.txt_vr_frag_thput_mbps,0.117,0.384,0.715
vrFragment_trace.txt_vr_burst_thput_mbps,4.671,0.438,0.691
vrFragment_trace.txt_vr_frag_time,30.627,0.366,0.863
vrFragment_trace.txt_vr_burst_time,32.557,0.393,0.845
delay_trace.txt_dl_delay,6.057,0.326,0.73
vrFragment_trace.txt_vr_frag_thput_mbps,0.113,0.385,0.73
vrFragment_trace.txt_vr_burst_thput_mbps,4.411,0.397,0.727
vrFragment_trace.txt_vr_frag_time,30.99,0.363,0.858
vrFragment_trace.txt_vr_burst_time,30.718,0.359,0.857
delay_trace.txt_dl_delay,5.912,0.305,0.739
