vrFragment_trace.txt_vr_frag_thput_mbps,0.221,2.767,0.422
vrFragment_trace.txt_vr_burst_thput_mbps,5.63,0.442,0.53
vrFragment_trace.txt_vr_frag_time,42.405,0.385,0.693
vrFragment_trace.txt_vr_burst_time,43.548,0.426,0.739
delay_trace.txt_dl_delay,11.482,0.231,0.039
vrFragment_trace.txt_vr_frag_thput_mbps,0.197,1.718,0.513
vrFragment_trace.txt_vr_burst_thput_mbps,4.91,0.473,0.67
vrFragment_trace.txt_vr_frag_time,38.522,0.369,0.783
vrFragment_trace.txt_vr_burst_time,38.867,0.402,0.813
delay_trace.txt_dl_delay,8.633,0.247,0.359
vrFragment_trace.txt_vr_frag_thput_mbps,0.199,2.023,0.54
vrFragment_trace.txt_vr_burst_thput_mbps,4.904,0.425,0.662
vrFragment_trace.txt_vr_frag_time,39.962,0.402,0.782
vrFragment_trace.txt_vr_burst_time,38.308,0.427,0.812
delay_trace.txt_dl_delay,5.928,0.224,0.741
vrFragment_trace.txt_vr_frag_thput_mbps,0.188,1.217,0.48
vrFragment_trace.txt_vr_burst_thput_mbps,4.93,0.424,0.656
vrFragment_trace.txt_vr_frag_time,35.793,0.394,0.822
vrFragment_trace.txt_vr_burst_time,39.859,0.427,0.798
delay_trace.txt_dl_delay,5.511,0.249,0.768
vrFragment_trace.txt_vr_frag_thput_mbps,0.13,0.552,0.696
vrFragment_trace.txt_vr_burst_thput_mbps,4.234,0.394,0.749
vrFragment_trace.txt_vr_frag_time,29.712,0.337,0.869
vrFragment_trace.txt_vr_burst_time,30.382,0.346,0.861
delay_trace.txt_dl_delay,5.057,0.282,0.801
vrFragment_trace.txt_vr_frag_thput_mbps,0.122,0.707,0.728
vrFragment_trace.txt_vr_burst_thput_mbps,4.054,0.36,0.758
vrFragment_trace.txt_vr_frag_time,28.41,0.324,0.874
vrFragment_trace.txt_vr_burst_time,29.159,0.332,0.867
delay_trace.txt_dl_delay,5.107,0.294,0.796
