vrFragment_trace.txt_vr_frag_thput_mbps,0.127,1.404,0.83
vrFragment_trace.txt_vr_burst_thput_mbps,6.283,0.991,0.66
vrFragment_trace.txt_vr_frag_time,53.208,1.116,0.661
vrFragment_trace.txt_vr_burst_time,53.035,1.177,0.724
delay_trace.txt_dl_delay,11.532,1.024,0.498
vrFragment_trace.txt_vr_frag_thput_mbps,0.134,1.089,0.791
vrFragment_trace.txt_vr_burst_thput_mbps,5.84,1.04,0.708
vrFragment_trace.txt_vr_frag_time,41.034,0.563,0.801
vrFragment_trace.txt_vr_burst_time,40.513,0.701,0.834
delay_trace.txt_dl_delay,6.813,0.534,0.767
vrFragment_trace.txt_vr_frag_thput_mbps,0.149,1.69,0.763
vrFragment_trace.txt_vr_burst_thput_mbps,5.481,0.8,0.71
vrFragment_trace.txt_vr_frag_time,38.826,0.516,0.825
vrFragment_trace.txt_vr_burst_time,38.336,0.631,0.853
delay_trace.txt_dl_delay,5.245,0.387,0.831
vrFragment_trace.txt_vr_frag_thput_mbps,0.136,1.194,0.775
vrFragment_trace.txt_vr_burst_thput_mbps,5.462,0.804,0.71
vrFragment_trace.txt_vr_frag_time,37.251,0.497,0.842
vrFragment_trace.txt_vr_burst_time,36.39,0.556,0.865
delay_trace.txt_dl_delay,5.36,0.392,0.826
vrFragment_trace.txt_vr_frag_thput_mbps,0.13,1.066,0.794
vrFragment_trace.txt_vr_burst_thput_mbps,4.675,0.644,0.767
vrFragment_trace.txt_vr_frag_time,31.288,0.464,0.871
vrFragment_trace.txt_vr_burst_time,32.087,0.516,0.865
delay_trace.txt_dl_delay,5.862,0.514,0.811
vrFragment_trace.txt_vr_frag_thput_mbps,0.131,1.217,0.792
vrFragment_trace.txt_vr_burst_thput_mbps,4.473,0.586,0.778
vrFragment_trace.txt_vr_frag_time,30.038,0.434,0.878
vrFragment_trace.txt_vr_burst_time,30.671,0.477,0.874
delay_trace.txt_dl_delay,5.662,0.432,0.808
