vrFragment_trace.txt_vr_frag_thput_mbps,0.158,2.036,0.734
vrFragment_trace.txt_vr_burst_thput_mbps,3.129,0.549,0.906
vrFragment_trace.txt_vr_frag_time,27.746,0.455,0.933
vrFragment_trace.txt_vr_burst_time,28.584,0.498,0.933
delay_trace.txt_dl_delay,3.79,0.268,0.943
vrFragment_trace.txt_vr_frag_thput_mbps,0.145,1.581,0.773
vrFragment_trace.txt_vr_burst_thput_mbps,3.623,0.583,0.867
vrFragment_trace.txt_vr_frag_time,27.399,0.398,0.931
vrFragment_trace.txt_vr_burst_time,25.948,0.43,0.941
delay_trace.txt_dl_delay,3.122,0.217,0.948
vrFragment_trace.txt_vr_frag_thput_mbps,0.151,1.444,0.739
vrFragment_trace.txt_vr_burst_thput_mbps,3.648,0.561,0.855
vrFragment_trace.txt_vr_frag_time,29.295,0.401,0.908
vrFragment_trace.txt_vr_burst_time,30.682,0.477,0.912
delay_trace.txt_dl_delay,3.437,0.231,0.944
vrFragment_trace.txt_vr_frag_thput_mbps,0.158,1.797,0.729
vrFragment_trace.txt_vr_burst_thput_mbps,3.839,0.578,0.84
vrFragment_trace.txt_vr_frag_time,34.236,0.458,0.879
vrFragment_trace.txt_vr_burst_time,30.906,0.449,0.909
delay_trace.txt_dl_delay,3.606,0.281,0.939
vrFragment_trace.txt_vr_frag_thput_mbps,0.124,1.03,0.804
vrFragment_trace.txt_vr_burst_thput_mbps,3.744,0.468,0.84
vrFragment_trace.txt_vr_frag_time,25.445,0.396,0.923
vrFragment_trace.txt_vr_burst_time,27.059,0.422,0.911
delay_trace.txt_dl_delay,3.993,0.319,0.917
vrFragment_trace.txt_vr_frag_thput_mbps,0.115,0.775,0.818
vrFragment_trace.txt_vr_burst_thput_mbps,3.756,0.483,0.836
vrFragment_trace.txt_vr_frag_time,26.34,0.387,0.919
vrFragment_trace.txt_vr_burst_time,26.766,0.41,0.914
delay_trace.txt_dl_delay,4.374,0.384,0.903
