vrFragment_trace.txt_vr_frag_thput_mbps,0.144,1.394,0.767
vrFragment_trace.txt_vr_burst_thput_mbps,3.684,0.547,0.87
vrFragment_trace.txt_vr_frag_time,35.863,0.456,0.882
vrFragment_trace.txt_vr_burst_time,34.723,0.463,0.903
delay_trace.txt_dl_delay,4.154,0.271,0.924
vrFragment_trace.txt_vr_frag_thput_mbps,0.161,1.759,0.719
vrFragment_trace.txt_vr_burst_thput_mbps,3.948,0.622,0.842
vrFragment_trace.txt_vr_frag_time,34.38,0.408,0.889
vrFragment_trace.txt_vr_burst_time,36.597,0.433,0.885
delay_trace.txt_dl_delay,4.0,0.241,0.912
vrFragment_trace.txt_vr_frag_thput_mbps,0.153,1.201,0.715
vrFragment_trace.txt_vr_burst_thput_mbps,4.077,0.581,0.827
vrFragment_trace.txt_vr_frag_time,34.671,0.398,0.877
vrFragment_trace.txt_vr_burst_time,33.389,0.406,0.895
delay_trace.txt_dl_delay,3.694,0.237,0.934
vrFragment_trace.txt_vr_frag_thput_mbps,0.153,1.347,0.711
vrFragment_trace.txt_vr_burst_thput_mbps,4.716,0.568,0.754
vrFragment_trace.txt_vr_frag_time,31.226,0.402,0.889
vrFragment_trace.txt_vr_burst_time,33.233,0.393,0.891
delay_trace.txt_dl_delay,4.269,0.303,0.907
vrFragment_trace.txt_vr_frag_thput_mbps,0.126,0.641,0.761
vrFragment_trace.txt_vr_burst_thput_mbps,4.041,0.477,0.808
vrFragment_trace.txt_vr_frag_time,28.749,0.37,0.897
vrFragment_trace.txt_vr_burst_time,29.723,0.372,0.89
delay_trace.txt_dl_delay,4.642,0.373,0.882
vrFragment_trace.txt_vr_frag_thput_mbps,0.122,0.798,0.784
vrFragment_trace.txt_vr_burst_thput_mbps,4.063,0.514,0.807
vrFragment_trace.txt_vr_frag_time,28.752,0.389,0.895
vrFragment_trace.txt_vr_burst_time,28.817,0.41,0.894
delay_trace.txt_dl_delay,4.953,0.389,0.858
