vrFragment_trace.txt_vr_frag_thput_mbps,0.165,1.542,0.699
vrFragment_trace.txt_vr_burst_thput_mbps,4.477,0.447,0.696
vrFragment_trace.txt_vr_frag_time,33.41,0.318,0.842
vrFragment_trace.txt_vr_burst_time,30.889,0.292,0.877
delay_trace.txt_dl_delay,8.412,0.161,0.218
vrFragment_trace.txt_vr_frag_thput_mbps,0.159,1.687,0.702
vrFragment_trace.txt_vr_burst_thput_mbps,3.669,0.347,0.803
vrFragment_trace.txt_vr_frag_time,30.059,0.299,0.891
vrFragment_trace.txt_vr_burst_time,34.944,0.351,0.862
delay_trace.txt_dl_delay,4.41,0.132,0.768
vrFragment_trace.txt_vr_frag_thput_mbps,0.156,1.388,0.682
vrFragment_trace.txt_vr_burst_thput_mbps,3.8,0.303,0.791
vrFragment_trace.txt_vr_frag_time,27.305,0.284,0.903
vrFragment_trace.txt_vr_burst_time,26.337,0.316,0.907
delay_trace.txt_dl_delay,2.695,0.133,0.95
vrFragment_trace.txt_vr_frag_thput_mbps,0.138,1.19,0.744
vrFragment_trace.txt_vr_burst_thput_mbps,3.456,0.293,0.822
vrFragment_trace.txt_vr_frag_time,27.178,0.268,0.901
vrFragment_trace.txt_vr_burst_time,19.199,0.283,0.946
delay_trace.txt_dl_delay,2.607,0.141,0.939
vrFragment_trace.txt_vr_frag_thput_mbps,0.079,0.389,0.888
vrFragment_trace.txt_vr_burst_thput_mbps,2.257,0.169,0.916
vrFragment_trace.txt_vr_frag_time,9.124,0.132,0.987
vrFragment_trace.txt_vr_burst_time,11.308,0.15,0.979
delay_trace.txt_dl_delay,1.745,0.099,0.971
vrFragment_trace.txt_vr_frag_thput_mbps,0.06,0.356,0.942
vrFragment_trace.txt_vr_burst_thput_mbps,2.057,0.164,0.933
vrFragment_trace.txt_vr_frag_time,7.972,0.11,0.988
vrFragment_trace.txt_vr_burst_time,8.73,0.121,0.984
delay_trace.txt_dl_delay,1.487,0.093,0.976
