vrFragment_trace.txt_vr_frag_thput_mbps,0.169,1.432,0.695
vrFragment_trace.txt_vr_burst_thput_mbps,4.266,0.439,0.756
vrFragment_trace.txt_vr_frag_time,22.453,0.356,0.92
vrFragment_trace.txt_vr_burst_time,21.16,0.264,0.925
delay_trace.txt_dl_delay,6.039,0.194,0.605
vrFragment_trace.txt_vr_frag_thput_mbps,0.147,0.836,0.685
vrFragment_trace.txt_vr_burst_thput_mbps,3.621,0.37,0.802
vrFragment_trace.txt_vr_frag_time,18.932,0.323,0.951
vrFragment_trace.txt_vr_burst_time,16.909,0.4,0.958
delay_trace.txt_dl_delay,3.108,0.134,0.926
vrFragment_trace.txt_vr_frag_thput_mbps,0.114,0.63,0.79
vrFragment_trace.txt_vr_burst_thput_mbps,3.48,0.324,0.822
vrFragment_trace.txt_vr_frag_time,13.781,0.198,0.974
vrFragment_trace.txt_vr_burst_time,17.821,0.333,0.953
delay_trace.txt_dl_delay,2.92,0.142,0.942
vrFragment_trace.txt_vr_frag_thput_mbps,0.097,0.451,0.813
vrFragment_trace.txt_vr_burst_thput_mbps,3.405,0.305,0.827
vrFragment_trace.txt_vr_frag_time,15.479,0.197,0.97
vrFragment_trace.txt_vr_burst_time,13.592,0.22,0.969
delay_trace.txt_dl_delay,2.624,0.145,0.95
vrFragment_trace.txt_vr_frag_thput_mbps,0.063,0.179,0.907
vrFragment_trace.txt_vr_burst_thput_mbps,2.961,0.244,0.874
vrFragment_trace.txt_vr_frag_time,12.729,0.142,0.978
vrFragment_trace.txt_vr_burst_time,14.943,0.153,0.968
delay_trace.txt_dl_delay,2.865,0.116,0.932
vrFragment_trace.txt_vr_frag_thput_mbps,0.054,0.14,0.93
vrFragment_trace.txt_vr_burst_thput_mbps,2.21,0.172,0.922
vrFragment_trace.txt_vr_frag_time,26.791,0.21,0.937
vrFragment_trace.txt_vr_burst_time,26.88,0.212,0.931
delay_trace.txt_dl_delay,2.764,0.118,0.929
