vrFragment_trace.txt_vr_frag_thput_mbps,0.128,2.149,0.804
vrFragment_trace.txt_vr_burst_thput_mbps,4.321,0.358,0.659
vrFragment_trace.txt_vr_frag_time,28.79,0.263,0.863
vrFragment_trace.txt_vr_burst_time,28.156,0.255,0.889
delay_trace.txt_dl_delay,8.066,0.135,0.237
vrFragment_trace.txt_vr_frag_thput_mbps,0.15,2.087,0.756
vrFragment_trace.txt_vr_burst_thput_mbps,3.542,0.315,0.819
vrFragment_trace.txt_vr_frag_time,27.616,0.284,0.884
vrFragment_trace.txt_vr_burst_time,25.639,0.288,0.911
delay_trace.txt_dl_delay,4.184,0.125,0.783
vrFragment_trace.txt_vr_frag_thput_mbps,0.142,1.758,0.756
vrFragment_trace.txt_vr_burst_thput_mbps,3.374,0.293,0.818
vrFragment_trace.txt_vr_frag_time,25.037,0.251,0.908
vrFragment_trace.txt_vr_burst_time,33.277,0.309,0.853
delay_trace.txt_dl_delay,2.581,0.123,0.957
vrFragment_trace.txt_vr_frag_thput_mbps,0.128,1.255,0.798
vrFragment_trace.txt_vr_burst_thput_mbps,3.398,0.277,0.818
vrFragment_trace.txt_vr_frag_time,21.454,0.236,0.928
vrFragment_trace.txt_vr_burst_time,18.38,0.233,0.952
delay_trace.txt_dl_delay,2.465,0.133,0.948
vrFragment_trace.txt_vr_frag_thput_mbps,0.073,0.604,0.921
vrFragment_trace.txt_vr_burst_thput_mbps,1.952,0.161,0.938
vrFragment_trace.txt_vr_frag_time,7.853,0.112,0.99
vrFragment_trace.txt_vr_burst_time,10.729,0.141,0.978
delay_trace.txt_dl_delay,1.49,0.088,0.98
vrFragment_trace.txt_vr_frag_thput_mbps,0.049,0.272,0.959
vrFragment_trace.txt_vr_burst_thput_mbps,1.901,0.152,0.942
vrFragment_trace.txt_vr_frag_time,7.946,0.099,0.989
vrFragment_trace.txt_vr_burst_time,8.408,0.116,0.984
delay_trace.txt_dl_delay,1.522,0.09,0.978
