vrFragment_trace.txt_vr_frag_thput_mbps,0.235,2.181,0.37
vrFragment_trace.txt_vr_burst_thput_mbps,8.545,0.643,0.031
vrFragment_trace.txt_vr_frag_time,115.316,0.703,-0.532
vrFragment_trace.txt_vr_burst_time,124.889,0.771,-0.637
delay_trace.txt_dl_delay,10.258,0.311,-0.028
vrFragment_trace.txt_vr_frag_thput_mbps,0.252,2.824,0.288
vrFragment_trace.txt_vr_burst_thput_mbps,7.244,0.682,0.369
vrFragment_trace.txt_vr_frag_time,77.455,0.872,0.334
vrFragment_trace.txt_vr_burst_time,79.837,0.94,0.276
delay_trace.txt_dl_delay,9.527,0.308,0.089
vrFragment_trace.txt_vr_frag_thput_mbps,0.228,1.802,0.387
vrFragment_trace.txt_vr_burst_thput_mbps,6.755,0.768,0.478
vrFragment_trace.txt_vr_frag_time,62.347,0.789,0.611
vrFragment_trace.txt_vr_burst_time,63.954,0.805,0.547
delay_trace.txt_dl_delay,9.625,0.339,0.164
vrFragment_trace.txt_vr_frag_thput_mbps,0.209,1.851,0.465
vrFragment_trace.txt_vr_burst_thput_mbps,6.618,0.737,0.517
vrFragment_trace.txt_vr_frag_time,46.694,0.599,0.756
vrFragment_trace.txt_vr_burst_time,48.689,0.617,0.727
delay_trace.txt_dl_delay,9.078,0.402,0.327
vrFragment_trace.txt_vr_frag_thput_mbps,0.189,1.201,0.516
vrFragment_trace.txt_vr_burst_thput_mbps,6.404,0.647,0.5
vrFragment_trace.txt_vr_frag_time,42.012,0.615,0.776
vrFragment_trace.txt_vr_burst_time,42.137,0.668,0.784
delay_trace.txt_dl_delay,6.824,0.437,0.645
vrFragment_trace.txt_vr_frag_thput_mbps,0.178,0.999,0.55
vrFragment_trace.txt_vr_burst_thput_mbps,6.21,0.613,0.522
vrFragment_trace.txt_vr_frag_time,40.686,0.645,0.791
vrFragment_trace.txt_vr_burst_time,41.532,0.689,0.789
delay_trace.txt_dl_delay,6.118,0.372,0.678
