vrFragment_trace.txt_vr_frag_thput_mbps,0.217,2.284,0.425
vrFragment_trace.txt_vr_burst_thput_mbps,9.0,1.755,0.322
vrFragment_trace.txt_vr_frag_time,104.462,0.757,-0.322
vrFragment_trace.txt_vr_burst_time,106.781,0.81,-0.313
delay_trace.txt_ul_delay,9.617,0.365,-0.062
delay_trace.txt_dl_delay,14.866,1.135,0.081
vrFragment_trace.txt_vr_frag_thput_mbps,0.197,1.53,0.524
vrFragment_trace.txt_vr_burst_thput_mbps,7.488,1.204,0.507
vrFragment_trace.txt_vr_frag_time,53.249,0.862,0.654
vrFragment_trace.txt_vr_burst_time,53.126,0.936,0.676
delay_trace.txt_ul_delay,9.046,0.368,0.119
delay_trace.txt_dl_delay,11.749,1.063,0.34
vrFragment_trace.txt_vr_frag_thput_mbps,0.179,1.584,0.634
vrFragment_trace.txt_vr_burst_thput_mbps,6.491,1.015,0.617
vrFragment_trace.txt_vr_frag_time,40.662,0.736,0.813
vrFragment_trace.txt_vr_burst_time,41.953,0.775,0.802
delay_trace.txt_ul_delay,8.04,0.334,0.176
delay_trace.txt_dl_delay,10.072,1.014,0.549
vrFragment_trace.txt_vr_frag_thput_mbps,0.162,1.076,0.666
vrFragment_trace.txt_vr_burst_thput_mbps,6.199,0.904,0.636
vrFragment_trace.txt_vr_frag_time,38.132,0.681,0.827
vrFragment_trace.txt_vr_burst_time,39.375,0.712,0.817
delay_trace.txt_ul_delay,7.8,0.319,0.197
delay_trace.txt_dl_delay,8.541,0.791,0.635
