vrFragment_trace.txt_vr_frag_thput_mbps,0.241,2.808,0.427
vrFragment_trace.txt_vr_burst_thput_mbps,9.333,2.315,0.32
vrFragment_trace.txt_vr_frag_time,102.627,0.871,-0.302
vrFragment_trace.txt_vr_burst_time,104.214,0.95,-0.273
delay_trace.txt_ul_delay,8.595,0.333,0.014
delay_trace.txt_dl_delay,15.576,1.374,0.12
vrFragment_trace.txt_vr_frag_thput_mbps,0.204,2.057,0.554
vrFragment_trace.txt_vr_burst_thput_mbps,7.596,1.357,0.525
vrFragment_trace.txt_vr_frag_time,48.015,1.061,0.724
vrFragment_trace.txt_vr_burst_time,49.05,1.063,0.723
delay_trace.txt_ul_delay,8.482,0.33,0.159
delay_trace.txt_dl_delay,12.123,1.245,0.436
vrFragment_trace.txt_vr_frag_thput_mbps,0.171,1.472,0.672
vrFragment_trace.txt_vr_burst_thput_mbps,6.417,1.041,0.63
vrFragment_trace.txt_vr_frag_time,42.062,0.778,0.782
vrFragment_trace.txt_vr_burst_time,42.512,0.765,0.78
delay_trace.txt_ul_delay,7.944,0.331,0.226
delay_trace.txt_dl_delay,8.442,0.728,0.631
vrFragment_trace.txt_vr_frag_thput_mbps,0.165,1.259,0.681
vrFragment_trace.txt_vr_burst_thput_mbps,6.198,1.004,0.649
vrFragment_trace.txt_vr_frag_time,40.313,0.684,0.797
vrFragment_trace.txt_vr_burst_time,41.152,0.761,0.796
delay_trace.txt_ul_delay,7.83,0.326,0.241
delay_trace.txt_dl_delay,8.376,0.764,0.653
