vrFragment_trace.txt_vr_frag_thput_mbps,0.223,2.176,0.484
vrFragment_trace.txt_vr_burst_thput_mbps,8.955,1.547,0.403
vrFragment_trace.txt_vr_frag_time,91.002,1.95,0.097
vrFragment_trace.txt_vr_burst_time,87.175,1.965,0.165
delay_trace.txt_ul_delay,9.638,0.428,0.051
delay_trace.txt_dl_delay,15.172,1.389,0.171
vrFragment_trace.txt_vr_frag_thput_mbps,0.212,1.557,0.478
vrFragment_trace.txt_vr_burst_thput_mbps,7.766,1.208,0.48
vrFragment_trace.txt_vr_frag_time,46.794,0.827,0.754
vrFragment_trace.txt_vr_burst_time,47.429,0.887,0.764
delay_trace.txt_ul_delay,10.519,0.475,0.067
delay_trace.txt_dl_delay,10.694,1.029,0.495
vrFragment_trace.txt_vr_frag_thput_mbps,0.203,1.477,0.509
vrFragment_trace.txt_vr_burst_thput_mbps,7.267,1.124,0.52
vrFragment_trace.txt_vr_frag_time,44.696,0.84,0.769
vrFragment_trace.txt_vr_burst_time,45.397,0.87,0.768
delay_trace.txt_ul_delay,9.463,0.431,0.07
delay_trace.txt_dl_delay,9.948,0.939,0.517
vrFragment_trace.txt_vr_frag_thput_mbps,0.187,1.102,0.543
vrFragment_trace.txt_vr_burst_thput_mbps,6.872,0.95,0.547
vrFragment_trace.txt_vr_frag_time,43.715,0.794,0.778
vrFragment_trace.txt_vr_burst_time,44.866,0.797,0.769
delay_trace.txt_ul_delay,9.32,0.426,0.084
delay_trace.txt_dl_delay,9.483,0.914,0.558
