vrFragment_trace.txt_vr_frag_thput_mbps,0.241,3.186,0.388
vrFragment_trace.txt_vr_burst_thput_mbps,9.048,2.353,0.329
vrFragment_trace.txt_vr_frag_time,102.723,0.907,-0.256
vrFragment_trace.txt_vr_burst_time,109.173,0.931,-0.323
delay_trace.txt_ul_delay,9.171,0.326,0.06
delay_trace.txt_dl_delay,13.167,1.218,0.15
vrFragment_trace.txt_vr_frag_thput_mbps,0.239,2.991,0.441
vrFragment_trace.txt_vr_burst_thput_mbps,7.221,1.181,0.52
vrFragment_trace.txt_vr_frag_time,79.391,1.845,0.336
vrFragment_trace.txt_vr_burst_time,77.167,1.819,0.339
delay_trace.txt_ul_delay,7.481,0.299,0.168
delay_trace.txt_dl_delay,12.861,1.369,0.333
vrFragment_trace.txt_vr_frag_thput_mbps,0.221,2.519,0.497
vrFragment_trace.txt_vr_burst_thput_mbps,6.667,1.117,0.591
vrFragment_trace.txt_vr_frag_time,55.755,1.368,0.659
vrFragment_trace.txt_vr_burst_time,58.43,1.411,0.602
delay_trace.txt_ul_delay,7.332,0.305,0.203
delay_trace.txt_dl_delay,12.272,1.266,0.431
vrFragment_trace.txt_vr_frag_thput_mbps,0.187,1.841,0.63
vrFragment_trace.txt_vr_burst_thput_mbps,6.606,1.099,0.615
vrFragment_trace.txt_vr_frag_time,36.57,0.839,0.835
vrFragment_trace.txt_vr_burst_time,39.388,0.995,0.814
delay_trace.txt_ul_delay,7.3,0.287,0.213
delay_trace.txt_dl_delay,12.46,1.395,0.478
vrFragment_trace.txt_vr_frag_thput_mbps,0.149,1.477,0.757
vrFragment_trace.txt_vr_burst_thput_mbps,5.298,0.815,0.733
vrFragment_trace.txt_vr_frag_time,30.345,0.631,0.88
vrFragment_trace.txt_vr_burst_time,31.458,0.701,0.881
delay_trace.txt_ul_delay,7.432,0.312,0.282
delay_trace.txt_dl_delay,6.792,0.518,0.737
vrFragment_trace.txt_vr_frag_thput_mbps,0.136,1.103,0.78
vrFragment_trace.txt_vr_burst_thput_mbps,4.994,0.735,0.756
vrFragment_trace.txt_vr_frag_time,28.89,0.574,0.894
vrFragment_trace.txt_vr_burst_time,29.391,0.644,0.896
delay_trace.txt_ul_delay,7.156,0.289,0.325
delay_trace.txt_dl_delay,6.028,0.451,0.781
