vrFragment_trace.txt_vr_frag_thput_mbps,0.182,2.319,0.685
vrFragment_trace.txt_vr_burst_thput_mbps,4.377,0.645,0.811
vrFragment_trace.txt_vr_frag_time,28.51,0.623,0.897
vrFragment_trace.txt_vr_burst_time,27.356,0.609,0.913
delay_trace.txt_dl_delay,7.835,0.803,0.738
vrFragment_trace.txt_vr_frag_thput_mbps,0.21,2.997,0.609
vrFragment_trace.txt_vr_burst_thput_mbps,4.18,0.655,0.826
vrFragment_trace.txt_vr_frag_time,23.133,0.51,0.949
vrFragment_trace.txt_vr_burst_time,21.271,0.593,0.961
delay_trace.txt_dl_delay,4.278,0.34,0.884
vrFragment_trace.txt_vr_frag_thput_mbps,0.16,1.896,0.741
vrFragment_trace.txt_vr_burst_thput_mbps,3.672,0.521,0.85
vrFragment_trace.txt_vr_frag_time,17.553,0.361,0.976
vrFragment_trace.txt_vr_burst_time,26.313,0.384,0.946
delay_trace.txt_dl_delay,3.195,0.207,0.945
vrFragment_trace.txt_vr_frag_thput_mbps,0.134,1.109,0.796
vrFragment_trace.txt_vr_burst_thput_mbps,3.306,0.429,0.869
vrFragment_trace.txt_vr_frag_time,16.842,0.263,0.974
vrFragment_trace.txt_vr_burst_time,17.594,0.285,0.969
delay_trace.txt_dl_delay,3.268,0.267,0.941
vrFragment_trace.txt_vr_frag_thput_mbps,0.071,0.797,0.95
vrFragment_trace.txt_vr_burst_thput_mbps,2.209,0.227,0.932
vrFragment_trace.txt_vr_frag_time,6.735,0.119,0.995
vrFragment_trace.txt_vr_burst_time,8.474,0.135,0.989
delay_trace.txt_dl_delay,1.749,0.124,0.982
vrFragment_trace.txt_vr_frag_thput_mbps,0.054,0.384,0.962
vrFragment_trace.txt_vr_burst_thput_mbps,2.298,0.227,0.924
vrFragment_trace.txt_vr_frag_time,6.348,0.098,0.995
vrFragment_trace.txt_vr_burst_time,8.19,0.129,0.99
delay_trace.txt_dl_delay,1.652,0.117,0.984
