vrFragment_trace.txt_vr_frag_thput_mbps,0.061,0.374,0.949
vrFragment_trace.txt_vr_burst_thput_mbps,6.256,0.506,0.479
vrFragment_trace.txt_vr_frag_time,110.569,0.78,-0.472
vrFragment_trace.txt_vr_burst_time,119.039,0.84,-0.569
delay_trace.txt_dl_delay,9.499,0.256,0.108
vrFragment_trace.txt_vr_frag_thput_mbps,0.068,0.4,0.931
vrFragment_trace.txt_vr_burst_thput_mbps,3.568,0.357,0.833
vrFragment_trace.txt_vr_frag_time,80.133,0.647,-0.042
vrFragment_trace.txt_vr_burst_time,83.39,0.711,-0.077
delay_trace.txt_dl_delay,6.618,0.201,0.514
vrFragment_trace.txt_vr_frag_thput_mbps,0.071,0.366,0.908
vrFragment_trace.txt_vr_burst_thput_mbps,2.664,0.269,0.901
vrFragment_trace.txt_vr_frag_time,48.328,0.415,0.473
vrFragment_trace.txt_vr_burst_time,50.636,0.577,0.452
delay_trace.txt_dl_delay,4.397,0.182,0.8
vrFragment_trace.txt_vr_frag_thput_mbps,0.054,0.24,0.946
vrFragment_trace.txt_vr_burst_thput_mbps,2.701,0.245,0.903
vrFragment_trace.txt_vr_frag_time,26.084,0.664,0.851
vrFragment_trace.txt_vr_burst_time,30.087,0.841,0.842
delay_trace.txt_dl_delay,2.987,0.163,0.934
vrFragment_trace.txt_vr_frag_thput_mbps,0.034,0.163,0.976
vrFragment_trace.txt_vr_burst_thput_mbps,1.972,0.172,0.945
vrFragment_trace.txt_vr_frag_time,10.662,0.237,0.985
vrFragment_trace.txt_vr_burst_time,12.038,0.283,0.978
delay_trace.txt_dl_delay,2.013,0.128,0.974
vrFragment_trace.txt_vr_frag_thput_mbps,0.029,0.138,0.982
vrFragment_trace.txt_vr_burst_thput_mbps,1.776,0.159,0.953
vrFragment_trace.txt_vr_frag_time,11.106,0.213,0.984
vrFragment_trace.txt_vr_burst_time,11.466,0.173,0.978
delay_trace.txt_dl_delay,2.153,0.131,0.969
