vrFragment_trace.txt_vr_frag_thput_mbps,0.237,2.901,0.399
vrFragment_trace.txt_vr_burst_thput_mbps,5.196,0.589,0.697
vrFragment_trace.txt_vr_frag_time,53.341,0.525,0.755
vrFragment_trace.txt_vr_burst_time,55.196,0.537,0.771
delay_trace.txt_dl_delay,7.491,0.501,0.658
vrFragment_trace.txt_vr_frag_thput_mbps,0.217,2.413,0.458
vrFragment_trace.txt_vr_burst_thput_mbps,4.634,0.561,0.77
vrFragment_trace.txt_vr_frag_time,31.689,0.478,0.913
vrFragment_trace.txt_vr_burst_time,33.247,0.515,0.912
delay_trace.txt_dl_delay,4.755,0.34,0.871
vrFragment_trace.txt_vr_frag_thput_mbps,0.21,2.161,0.491
vrFragment_trace.txt_vr_burst_thput_mbps,4.723,0.56,0.747
vrFragment_trace.txt_vr_frag_time,28.978,0.411,0.931
vrFragment_trace.txt_vr_burst_time,30.829,0.431,0.921
delay_trace.txt_dl_delay,3.625,0.236,0.93
vrFragment_trace.txt_vr_frag_thput_mbps,0.191,1.563,0.572
vrFragment_trace.txt_vr_burst_thput_mbps,4.271,0.47,0.782
vrFragment_trace.txt_vr_frag_time,27.757,0.347,0.924
vrFragment_trace.txt_vr_burst_time,30.27,0.385,0.921
delay_trace.txt_dl_delay,3.677,0.219,0.902
vrFragment_trace.txt_vr_frag_thput_mbps,0.094,0.599,0.883
vrFragment_trace.txt_vr_burst_thput_mbps,2.249,0.237,0.928
vrFragment_trace.txt_vr_frag_time,14.062,0.167,0.979
vrFragment_trace.txt_vr_burst_time,13.729,0.174,0.975
delay_trace.txt_dl_delay,2.688,0.157,0.944
vrFragment_trace.txt_vr_frag_thput_mbps,0.067,0.418,0.934
vrFragment_trace.txt_vr_burst_thput_mbps,2.056,0.204,0.939
vrFragment_trace.txt_vr_frag_time,13.186,0.146,0.978
vrFragment_trace.txt_vr_burst_time,16.031,0.176,0.968
delay_trace.txt_dl_delay,3.052,0.178,0.931
