vrFragment_trace.txt_vr_frag_thput_mbps,0.182,1.835,0.64
vrFragment_trace.txt_vr_burst_thput_mbps,5.324,0.798,0.749
vrFragment_trace.txt_vr_frag_time,37.621,0.672,0.833
vrFragment_trace.txt_vr_burst_time,38.921,0.748,0.836
delay_trace.txt_dl_delay,14.917,1.574,0.333
vrFragment_trace.txt_vr_frag_thput_mbps,0.166,1.956,0.675
vrFragment_trace.txt_vr_burst_thput_mbps,4.86,0.819,0.779
vrFragment_trace.txt_vr_frag_time,33.413,0.632,0.882
vrFragment_trace.txt_vr_burst_time,33.847,0.605,0.885
delay_trace.txt_dl_delay,15.106,1.741,0.298
vrFragment_trace.txt_vr_frag_thput_mbps,0.173,1.391,0.624
vrFragment_trace.txt_vr_burst_thput_mbps,4.944,0.694,0.755
vrFragment_trace.txt_vr_frag_time,32.616,0.518,0.875
vrFragment_trace.txt_vr_burst_time,32.795,0.603,0.89
delay_trace.txt_dl_delay,17.749,2.434,0.317
vrFragment_trace.txt_vr_frag_thput_mbps,0.16,1.025,0.678
vrFragment_trace.txt_vr_burst_thput_mbps,5.049,0.682,0.735
vrFragment_trace.txt_vr_frag_time,31.912,0.503,0.883
vrFragment_trace.txt_vr_burst_time,33.948,0.521,0.879
delay_trace.txt_dl_delay,19.881,2.92,0.284
vrFragment_trace.txt_vr_frag_thput_mbps,0.152,1.151,0.709
vrFragment_trace.txt_vr_burst_thput_mbps,4.509,0.578,0.772
vrFragment_trace.txt_vr_frag_time,29.729,0.436,0.886
vrFragment_trace.txt_vr_burst_time,30.331,0.431,0.882
delay_trace.txt_dl_delay,8.665,0.681,0.577
vrFragment_trace.txt_vr_frag_thput_mbps,0.133,0.699,0.738
vrFragment_trace.txt_vr_burst_thput_mbps,4.332,0.583,0.784
vrFragment_trace.txt_vr_frag_time,28.769,0.418,0.89
vrFragment_trace.txt_vr_burst_time,29.499,0.433,0.886
delay_trace.txt_dl_delay,8.292,0.666,0.609
