vrFragment_trace.txt_vr_frag_thput_mbps,0.171,1.671,0.652
vrFragment_trace.txt_vr_burst_thput_mbps,5.141,0.829,0.746
vrFragment_trace.txt_vr_frag_time,35.155,0.663,0.865
vrFragment_trace.txt_vr_burst_time,33.074,0.691,0.899
delay_trace.txt_dl_delay,8.113,0.768,0.759
vrFragment_trace.txt_vr_frag_thput_mbps,0.17,1.638,0.674
vrFragment_trace.txt_vr_burst_thput_mbps,5.21,0.83,0.719
vrFragment_trace.txt_vr_frag_time,32.372,0.512,0.882
vrFragment_trace.txt_vr_burst_time,30.315,0.55,0.905
delay_trace.txt_dl_delay,5.091,0.392,0.881
vrFragment_trace.txt_vr_frag_thput_mbps,0.166,1.557,0.683
vrFragment_trace.txt_vr_burst_thput_mbps,5.149,0.772,0.739
vrFragment_trace.txt_vr_frag_time,32.614,0.471,0.875
vrFragment_trace.txt_vr_burst_time,31.992,0.614,0.885
delay_trace.txt_dl_delay,5.085,0.394,0.866
vrFragment_trace.txt_vr_frag_thput_mbps,0.174,2.018,0.674
vrFragment_trace.txt_vr_burst_thput_mbps,5.082,0.663,0.717
vrFragment_trace.txt_vr_frag_time,31.991,0.379,0.876
vrFragment_trace.txt_vr_burst_time,32.105,0.442,0.887
delay_trace.txt_dl_delay,5.523,0.507,0.863
vrFragment_trace.txt_vr_frag_thput_mbps,0.118,0.713,0.807
vrFragment_trace.txt_vr_burst_thput_mbps,4.054,0.466,0.807
vrFragment_trace.txt_vr_frag_time,26.544,0.364,0.906
vrFragment_trace.txt_vr_burst_time,27.622,0.375,0.896
delay_trace.txt_dl_delay,5.274,0.398,0.841
vrFragment_trace.txt_vr_frag_thput_mbps,0.12,0.893,0.804
vrFragment_trace.txt_vr_burst_thput_mbps,4.017,0.491,0.81
vrFragment_trace.txt_vr_frag_time,27.111,0.368,0.905
vrFragment_trace.txt_vr_burst_time,27.52,0.389,0.9
delay_trace.txt_dl_delay,5.077,0.408,0.851
