vrFragment_trace.txt_vr_frag_thput_mbps,0.181,2.559,0.698
vrFragment_trace.txt_vr_burst_thput_mbps,4.024,0.511,0.833
vrFragment_trace.txt_vr_frag_time,36.496,0.667,0.845
vrFragment_trace.txt_vr_burst_time,34.522,0.717,0.864
delay_trace.txt_dl_delay,7.901,0.797,0.801
vrFragment_trace.txt_vr_frag_thput_mbps,0.167,2.162,0.703
vrFragment_trace.txt_vr_burst_thput_mbps,4.16,0.608,0.818
vrFragment_trace.txt_vr_frag_time,32.102,0.565,0.884
vrFragment_trace.txt_vr_burst_time,33.58,0.636,0.882
delay_trace.txt_dl_delay,4.572,0.385,0.905
vrFragment_trace.txt_vr_frag_thput_mbps,0.153,1.249,0.721
vrFragment_trace.txt_vr_burst_thput_mbps,4.03,0.619,0.834
vrFragment_trace.txt_vr_frag_time,34.886,0.53,0.865
vrFragment_trace.txt_vr_burst_time,29.988,0.474,0.902
delay_trace.txt_dl_delay,4.392,0.311,0.911
vrFragment_trace.txt_vr_frag_thput_mbps,0.174,2.382,0.703
vrFragment_trace.txt_vr_burst_thput_mbps,4.714,0.621,0.761
vrFragment_trace.txt_vr_frag_time,34.875,0.41,0.848
vrFragment_trace.txt_vr_burst_time,35.404,0.427,0.871
delay_trace.txt_dl_delay,4.769,0.434,0.902
vrFragment_trace.txt_vr_frag_thput_mbps,0.113,0.863,0.848
vrFragment_trace.txt_vr_burst_thput_mbps,3.672,0.482,0.846
vrFragment_trace.txt_vr_frag_time,26.805,0.367,0.911
vrFragment_trace.txt_vr_burst_time,27.528,0.405,0.904
delay_trace.txt_dl_delay,4.604,0.398,0.895
vrFragment_trace.txt_vr_frag_thput_mbps,0.11,0.672,0.835
vrFragment_trace.txt_vr_burst_thput_mbps,3.825,0.542,0.832
vrFragment_trace.txt_vr_frag_time,26.351,0.4,0.911
vrFragment_trace.txt_vr_burst_time,26.707,0.411,0.909
delay_trace.txt_dl_delay,4.852,0.428,0.883
