vrFragment_trace.txt_vr_frag_thput_mbps,0.137,1.683,0.786
vrFragment_trace.txt_vr_burst_thput_mbps,2.69,0.55,0.924
vrFragment_trace.txt_vr_frag_time,25.766,0.476,0.943
vrFragment_trace.txt_vr_burst_time,25.606,0.491,0.943
delay_trace.txt_dl_delay,3.438,0.272,0.956
vrFragment_trace.txt_vr_frag_thput_mbps,0.13,1.397,0.818
vrFragment_trace.txt_vr_burst_thput_mbps,3.414,0.632,0.883
vrFragment_trace.txt_vr_frag_time,23.833,0.406,0.944
vrFragment_trace.txt_vr_burst_time,27.327,0.419,0.934
delay_trace.txt_dl_delay,3.119,0.212,0.953
vrFragment_trace.txt_vr_frag_thput_mbps,0.14,1.595,0.78
vrFragment_trace.txt_vr_burst_thput_mbps,3.198,0.553,0.896
vrFragment_trace.txt_vr_frag_time,31.045,0.402,0.901
vrFragment_trace.txt_vr_burst_time,26.017,0.363,0.929
delay_trace.txt_dl_delay,2.857,0.215,0.964
vrFragment_trace.txt_vr_frag_thput_mbps,0.129,1.588,0.795
vrFragment_trace.txt_vr_burst_thput_mbps,3.385,0.502,0.875
vrFragment_trace.txt_vr_frag_time,29.637,0.396,0.906
vrFragment_trace.txt_vr_burst_time,31.242,0.418,0.912
delay_trace.txt_dl_delay,3.179,0.26,0.954
vrFragment_trace.txt_vr_frag_thput_mbps,0.105,1.034,0.877
vrFragment_trace.txt_vr_burst_thput_mbps,2.94,0.432,0.902
vrFragment_trace.txt_vr_frag_time,23.648,0.353,0.939
vrFragment_trace.txt_vr_burst_time,24.331,0.384,0.934
delay_trace.txt_dl_delay,3.368,0.32,0.953
vrFragment_trace.txt_vr_frag_thput_mbps,0.094,0.638,0.881
vrFragment_trace.txt_vr_burst_thput_mbps,3.264,0.494,0.88
vrFragment_trace.txt_vr_frag_time,23.381,0.388,0.939
vrFragment_trace.txt_vr_burst_time,24.331,0.405,0.934
delay_trace.txt_dl_delay,3.72,0.337,0.938
