vrFragment_trace.txt_vr_frag_thput_mbps,0.303,3.714,0.17
vrFragment_trace.txt_vr_burst_thput_mbps,6.667,1.39,0.601
vrFragment_trace.txt_vr_frag_time,63.859,0.607,0.651
vrFragment_trace.txt_vr_burst_time,66.328,0.615,0.637
delay_trace.txt_dl_delay,8.976,0.521,0.598
vrFragment_trace.txt_vr_frag_thput_mbps,0.308,3.418,0.048
vrFragment_trace.txt_vr_burst_thput_mbps,5.98,0.755,0.614
vrFragment_trace.txt_vr_frag_time,59.662,0.557,0.689
vrFragment_trace.txt_vr_burst_time,61.389,0.576,0.703
delay_trace.txt_dl_delay,5.44,0.257,0.836
vrFragment_trace.txt_vr_frag_thput_mbps,0.289,2.743,0.112
vrFragment_trace.txt_vr_burst_thput_mbps,5.979,0.616,0.588
vrFragment_trace.txt_vr_frag_time,58.781,0.545,0.677
vrFragment_trace.txt_vr_burst_time,56.479,0.519,0.723
delay_trace.txt_dl_delay,6.624,0.304,0.706
vrFragment_trace.txt_vr_frag_thput_mbps,0.229,1.743,0.347
vrFragment_trace.txt_vr_burst_thput_mbps,6.133,0.706,0.587
vrFragment_trace.txt_vr_frag_time,50.193,0.533,0.732
vrFragment_trace.txt_vr_burst_time,55.403,0.517,0.715
delay_trace.txt_dl_delay,6.315,0.311,0.753
vrFragment_trace.txt_vr_frag_thput_mbps,0.154,0.886,0.68
vrFragment_trace.txt_vr_burst_thput_mbps,4.603,0.521,0.75
vrFragment_trace.txt_vr_frag_time,35.081,0.441,0.844
vrFragment_trace.txt_vr_burst_time,36.53,0.453,0.832
delay_trace.txt_dl_delay,5.418,0.35,0.819
vrFragment_trace.txt_vr_frag_thput_mbps,0.134,0.634,0.725
vrFragment_trace.txt_vr_burst_thput_mbps,4.612,0.539,0.76
vrFragment_trace.txt_vr_frag_time,32.306,0.412,0.86
vrFragment_trace.txt_vr_burst_time,31.494,0.407,0.869
delay_trace.txt_dl_delay,5.456,0.382,0.812
