vrFragment_trace.txt_vr_frag_thput_mbps,0.182,1.702,0.628
vrFragment_trace.txt_vr_burst_thput_mbps,5.394,0.42,0.519
vrFragment_trace.txt_vr_frag_time,38.371,0.363,0.8
vrFragment_trace.txt_vr_burst_time,38.898,0.343,0.798
delay_trace.txt_dl_delay,8.736,0.178,0.177
vrFragment_trace.txt_vr_frag_thput_mbps,0.192,1.835,0.524
vrFragment_trace.txt_vr_burst_thput_mbps,4.252,0.388,0.739
vrFragment_trace.txt_vr_frag_time,33.413,0.329,0.86
vrFragment_trace.txt_vr_burst_time,32.42,0.372,0.878
delay_trace.txt_dl_delay,5.4,0.163,0.672
vrFragment_trace.txt_vr_frag_thput_mbps,0.174,1.395,0.619
vrFragment_trace.txt_vr_burst_thput_mbps,3.944,0.33,0.779
vrFragment_trace.txt_vr_frag_time,30.683,0.303,0.89
vrFragment_trace.txt_vr_burst_time,33.377,0.355,0.859
delay_trace.txt_dl_delay,3.088,0.144,0.931
vrFragment_trace.txt_vr_frag_thput_mbps,0.167,1.157,0.619
vrFragment_trace.txt_vr_burst_thput_mbps,3.818,0.298,0.785
vrFragment_trace.txt_vr_frag_time,26.771,0.285,0.897
vrFragment_trace.txt_vr_burst_time,27.135,0.299,0.913
delay_trace.txt_dl_delay,3.146,0.151,0.919
vrFragment_trace.txt_vr_frag_thput_mbps,0.089,0.409,0.866
vrFragment_trace.txt_vr_burst_thput_mbps,2.615,0.208,0.894
vrFragment_trace.txt_vr_frag_time,12.249,0.147,0.981
vrFragment_trace.txt_vr_burst_time,10.799,0.154,0.979
delay_trace.txt_dl_delay,1.759,0.1,0.97
vrFragment_trace.txt_vr_frag_thput_mbps,0.071,0.748,0.924
vrFragment_trace.txt_vr_burst_thput_mbps,2.289,0.17,0.916
vrFragment_trace.txt_vr_frag_time,9.79,0.116,0.985
vrFragment_trace.txt_vr_burst_time,12.043,0.134,0.975
delay_trace.txt_dl_delay,1.725,0.101,0.968
