vrFragment_trace.txt_vr_frag_thput_mbps,0.195,2.466,0.592
vrFragment_trace.txt_vr_burst_thput_mbps,4.038,0.707,0.846
vrFragment_trace.txt_vr_frag_time,32.751,0.629,0.852
vrFragment_trace.txt_vr_burst_time,35.35,0.688,0.842
delay_trace.txt_dl_delay,5.817,0.516,0.859
vrFragment_trace.txt_vr_frag_thput_mbps,0.177,1.902,0.663
vrFragment_trace.txt_vr_burst_thput_mbps,4.003,0.826,0.843
vrFragment_trace.txt_vr_frag_time,30.003,0.605,0.902
vrFragment_trace.txt_vr_burst_time,33.445,0.699,0.863
delay_trace.txt_dl_delay,4.848,0.363,0.889
vrFragment_trace.txt_vr_frag_thput_mbps,0.209,2.547,0.568
vrFragment_trace.txt_vr_burst_thput_mbps,4.046,0.734,0.833
vrFragment_trace.txt_vr_frag_time,32.528,0.631,0.889
vrFragment_trace.txt_vr_burst_time,32.84,0.752,0.879
delay_trace.txt_dl_delay,4.835,0.367,0.877
vrFragment_trace.txt_vr_frag_thput_mbps,0.177,1.708,0.649
vrFragment_trace.txt_vr_burst_thput_mbps,4.684,0.719,0.769
vrFragment_trace.txt_vr_frag_time,33.449,0.724,0.883
vrFragment_trace.txt_vr_burst_time,33.484,0.686,0.874
delay_trace.txt_dl_delay,4.755,0.387,0.892
vrFragment_trace.txt_vr_frag_thput_mbps,0.116,0.803,0.82
vrFragment_trace.txt_vr_burst_thput_mbps,3.452,0.478,0.863
vrFragment_trace.txt_vr_frag_time,25.704,0.434,0.921
vrFragment_trace.txt_vr_burst_time,25.333,0.408,0.925
delay_trace.txt_dl_delay,4.64,0.448,0.896
vrFragment_trace.txt_vr_frag_thput_mbps,0.122,0.994,0.813
vrFragment_trace.txt_vr_burst_thput_mbps,3.65,0.472,0.844
vrFragment_trace.txt_vr_frag_time,25.163,0.397,0.921
vrFragment_trace.txt_vr_burst_time,25.983,0.417,0.916
delay_trace.txt_dl_delay,4.87,0.445,0.883
