vrFragment_trace.txt_vr_frag_thput_mbps,0.154,1.639,0.747
vrFragment_trace.txt_vr_burst_thput_mbps,4.185,0.781,0.845
vrFragment_trace.txt_vr_frag_time,31.195,0.564,0.91
vrFragment_trace.txt_vr_burst_time,32.287,0.631,0.9
delay_trace.txt_dl_delay,7.226,0.726,0.829
vrFragment_trace.txt_vr_frag_thput_mbps,0.161,2.026,0.721
vrFragment_trace.txt_vr_burst_thput_mbps,4.314,0.842,0.822
vrFragment_trace.txt_vr_frag_time,28.432,0.477,0.918
vrFragment_trace.txt_vr_burst_time,27.479,0.515,0.926
delay_trace.txt_dl_delay,4.101,0.368,0.931
vrFragment_trace.txt_vr_frag_thput_mbps,0.142,1.21,0.763
vrFragment_trace.txt_vr_burst_thput_mbps,4.19,0.712,0.829
vrFragment_trace.txt_vr_frag_time,28.036,0.441,0.918
vrFragment_trace.txt_vr_burst_time,29.014,0.542,0.914
delay_trace.txt_dl_delay,4.492,0.381,0.902
vrFragment_trace.txt_vr_frag_thput_mbps,0.149,1.626,0.755
vrFragment_trace.txt_vr_burst_thput_mbps,4.269,0.65,0.814
vrFragment_trace.txt_vr_frag_time,30.579,0.438,0.896
vrFragment_trace.txt_vr_burst_time,29.882,0.483,0.91
delay_trace.txt_dl_delay,5.518,0.604,0.883
vrFragment_trace.txt_vr_frag_thput_mbps,0.121,0.82,0.814
vrFragment_trace.txt_vr_burst_thput_mbps,3.87,0.495,0.83
vrFragment_trace.txt_vr_frag_time,26.146,0.406,0.914
vrFragment_trace.txt_vr_burst_time,27.34,0.437,0.905
delay_trace.txt_dl_delay,5.813,0.486,0.821
vrFragment_trace.txt_vr_frag_thput_mbps,0.117,0.838,0.815
vrFragment_trace.txt_vr_burst_thput_mbps,3.854,0.492,0.828
vrFragment_trace.txt_vr_frag_time,26.346,0.398,0.913
vrFragment_trace.txt_vr_burst_time,26.823,0.418,0.908
delay_trace.txt_dl_delay,4.971,0.438,0.869
