vrFragment_trace.txt_vr_frag_thput_mbps,0.207,2.737,0.562
vrFragment_trace.txt_vr_burst_thput_mbps,4.211,0.673,0.819
vrFragment_trace.txt_vr_frag_time,33.642,0.528,0.891
vrFragment_trace.txt_vr_burst_time,34.453,0.596,0.89
delay_trace.txt_dl_delay,7.307,0.693,0.806
vrFragment_trace.txt_vr_frag_thput_mbps,0.188,2.345,0.604
vrFragment_trace.txt_vr_burst_thput_mbps,4.381,0.759,0.806
vrFragment_trace.txt_vr_frag_time,31.542,0.466,0.902
vrFragment_trace.txt_vr_burst_time,32.742,0.512,0.893
delay_trace.txt_dl_delay,4.383,0.347,0.916
vrFragment_trace.txt_vr_frag_thput_mbps,0.187,2.103,0.629
vrFragment_trace.txt_vr_burst_thput_mbps,4.465,0.61,0.786
vrFragment_trace.txt_vr_frag_time,28.951,0.436,0.906
vrFragment_trace.txt_vr_burst_time,30.633,0.455,0.904
delay_trace.txt_dl_delay,4.351,0.294,0.907
vrFragment_trace.txt_vr_frag_thput_mbps,0.17,1.68,0.66
vrFragment_trace.txt_vr_burst_thput_mbps,4.84,0.595,0.741
vrFragment_trace.txt_vr_frag_time,29.027,0.451,0.897
vrFragment_trace.txt_vr_burst_time,30.295,0.448,0.905
delay_trace.txt_dl_delay,4.636,0.347,0.889
vrFragment_trace.txt_vr_frag_thput_mbps,0.132,0.724,0.75
vrFragment_trace.txt_vr_burst_thput_mbps,4.08,0.494,0.805
vrFragment_trace.txt_vr_frag_time,27.545,0.375,0.9
vrFragment_trace.txt_vr_burst_time,28.381,0.373,0.895
delay_trace.txt_dl_delay,5.259,0.384,0.838
vrFragment_trace.txt_vr_frag_thput_mbps,0.118,0.654,0.787
vrFragment_trace.txt_vr_burst_thput_mbps,4.05,0.49,0.804
vrFragment_trace.txt_vr_frag_time,27.529,0.373,0.899
vrFragment_trace.txt_vr_burst_time,27.739,0.406,0.896
delay_trace.txt_dl_delay,5.024,0.385,0.85
